Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/files/add/10KB?id=0,44,0,4,4.936901545616737,3.1428839993168367,15.742250000585045,17.0,2.97231158782501,0.0,4,5,5,5,5,8,16,16,16,16,16
GET,/files/add/10KB?id=1,44,0,3,2.817985295512864,1.9917849995181314,6.0515010000017355,17.0,2.97231158782501,0.0,3,3,3,3,4,4,6,6,6,6,6
GET,/files/add/10KB?id=10,44,0,2,2.5804605682176107,1.7725600000630948,5.06505199973617,18.0,2.97231158782501,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/files/add/10KB?id=11,44,0,2,2.539397659120368,1.8211520000477321,5.161197000234097,18.0,2.97231158782501,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/10KB?id=12,44,0,2,2.5609289772836004,1.7328450003333273,4.875953999544436,18.0,2.97231158782501,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/10KB?id=13,44,0,2,2.6217634318858143,1.8070070000248961,6.751396999788994,18.0,2.97231158782501,0.0,2,3,3,3,3,4,7,7,7,7,7
GET,/files/add/10KB?id=14,44,0,2,2.5720832499948965,1.8131019996872055,5.576830000791233,18.0,2.97231158782501,0.0,2,3,3,3,3,4,6,6,6,6,6
GET,/files/add/10KB?id=15,44,0,2,2.663203772602752,1.8265199996676529,7.49755400011054,18.0,2.97231158782501,0.0,2,3,3,3,4,4,7,7,7,7,7
GET,/files/add/10KB?id=16,44,0,2,2.534074886356889,1.791513999705785,4.055665000123554,18.0,2.97231158782501,0.0,2,3,3,3,3,4,4,4,4,4,4
GET,/files/add/10KB?id=17,44,0,2,6.088449977265885,1.8106670004272019,154.13833000002342,18.0,2.97231158782501,0.0,3,3,3,3,4,5,150,150,150,150,150
GET,/files/add/10KB?id=18,44,0,3,3.107772704652234,1.794675999917672,13.373613000112528,18.0,2.97231158782501,0.0,3,3,3,3,4,5,13,13,13,13,13
GET,/files/add/10KB?id=19,44,0,3,2.6961120000495695,1.9147630000588833,5.477278999933333,18.0,2.97231158782501,0.0,3,3,3,3,4,4,5,5,5,5,5
GET,/files/add/10KB?id=2,44,0,2,2.624208886366184,1.8966130000990233,4.499966999901517,17.0,2.97231158782501,0.0,2,3,3,3,3,4,4,4,4,4,4
GET,/files/add/10KB?id=20,44,0,3,2.7238246363222887,1.8269940001118812,7.677820000026259,18.0,2.97231158782501,0.0,3,3,3,3,3,4,8,8,8,8,8
GET,/files/add/10KB?id=21,44,0,2,2.6628220226815427,1.8041100001937593,5.7823150000331225,18.0,2.97231158782501,0.0,2,3,3,3,3,4,6,6,6,6,6
GET,/files/add/10KB?id=22,44,0,3,2.7157169772429124,1.866126999630069,5.239402000370319,18.0,2.97231158782501,0.0,3,3,3,3,4,4,5,5,5,5,5
GET,/files/add/10KB?id=23,44,0,2,2.601762522772333,1.8646739999894635,5.342904999452003,18.0,2.97231158782501,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/10KB?id=24,44,0,2,2.5702644090663607,1.909682000587054,5.346476000340772,18.0,2.97231158782501,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/10KB?id=25,44,0,3,2.580897568184975,1.988758000152302,4.948588999468484,18.0,2.97231158782501,0.0,3,3,3,3,3,4,5,5,5,5,5
GET,/files/add/10KB?id=26,44,0,2,2.598528750034099,1.8163960003221291,5.306537999786087,18.0,2.97231158782501,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/10KB?id=27,44,0,2,2.583468499923666,1.8834219999916968,4.050706999805698,18.0,2.97231158782501,0.0,2,3,3,3,3,4,4,4,4,4,4
GET,/files/add/10KB?id=28,44,0,2,2.619106727231404,1.8572250000943313,4.560233000120206,18.0,2.97231158782501,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/10KB?id=29,44,0,3,2.611623204591689,1.811969999835128,4.26278499980981,18.0,2.97231158782501,0.0,3,3,3,3,4,4,4,4,4,4,4
GET,/files/add/10KB?id=3,44,0,2,2.56339518182358,1.6617510000287439,3.845124000690703,17.0,2.97231158782501,0.0,3,3,3,3,3,4,4,4,4,4,4
GET,/files/add/10KB?id=30,44,0,3,2.65564481816744,1.7458499996791943,5.774908000603318,18.0,2.97231158782501,0.0,3,3,3,3,3,4,6,6,6,6,6
GET,/files/add/10KB?id=31,44,0,2,2.6457566136121553,1.7511639998701867,5.563624999922467,18.0,2.97231158782501,0.0,3,3,3,3,4,5,6,6,6,6,6
GET,/files/add/10KB?id=32,44,0,2,2.5994463864704316,1.879359000668046,5.936055000347551,18.0,2.97231158782501,0.0,2,3,3,3,3,4,6,6,6,6,6
GET,/files/add/10KB?id=33,44,0,3,2.718887590927724,1.833586000429932,4.947674000504776,18.0,2.97231158782501,0.0,3,3,3,3,4,4,5,5,5,5,5
GET,/files/add/10KB?id=34,44,0,2,2.6715788408389263,1.8446459998813225,5.4432630004157545,18.0,2.97231158782501,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/files/add/10KB?id=35,44,0,2,2.545983750037935,1.7752049998307484,5.8719200005725725,18.0,2.97231158782501,0.0,2,3,3,3,3,4,6,6,6,6,6
GET,/files/add/10KB?id=36,44,0,2,2.5983764545468477,1.713837000352214,4.603541000506084,18.0,2.97231158782501,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/10KB?id=37,44,0,2,2.6131045226313954,1.8256590001328732,5.162856999959331,18.0,2.97231158782501,0.0,3,3,3,3,3,4,5,5,5,5,5
GET,/files/add/10KB?id=38,44,0,2,2.6570662500117495,1.8308600001546438,5.990327000290563,18.0,2.97231158782501,0.0,3,3,3,3,3,4,6,6,6,6,6
GET,/files/add/10KB?id=39,44,0,2,2.632896204493756,1.829263999752584,6.058343999939098,18.0,2.97231158782501,0.0,2,3,3,3,3,4,6,6,6,6,6
GET,/files/add/10KB?id=4,44,0,2,2.55421656823852,1.787503000741708,4.285343000447028,17.0,2.97231158782501,0.0,2,3,3,3,4,4,4,4,4,4,4
GET,/files/add/10KB?id=40,44,0,3,2.7037318181803793,1.8154920007873443,5.1820660000885255,18.0,2.97231158782501,0.0,3,3,3,3,4,5,5,5,5,5,5
GET,/files/add/10KB?id=41,44,0,3,2.7004097499808597,1.8337660003453493,6.210718999682285,18.0,2.97231158782501,0.0,3,3,3,3,3,4,6,6,6,6,6
GET,/files/add/10KB?id=42,44,0,3,2.634441522766131,1.8754630000330508,6.949698999960674,18.0,2.97231158782501,0.0,3,3,3,3,3,4,7,7,7,7,7
GET,/files/add/10KB?id=43,44,0,3,2.656722340899168,1.8114800004696008,5.266633000246657,18.0,2.97231158782501,0.0,3,3,3,3,3,4,5,5,5,5,5
GET,/files/add/10KB?id=44,44,0,3,2.6423895227377545,1.7322639996564249,5.046670999945491,18.0,2.97231158782501,0.0,3,3,3,3,3,4,5,5,5,5,5
GET,/files/add/10KB?id=45,44,0,3,2.6128514318357206,1.7599009997866233,5.380712999794923,18.0,2.97231158782501,0.0,3,3,3,3,3,4,5,5,5,5,5
GET,/files/add/10KB?id=46,44,0,3,2.6203643636687377,1.7616539998925873,5.414043000200763,18.0,2.97231158782501,0.0,3,3,3,3,3,4,5,5,5,5,5
GET,/files/add/10KB?id=47,44,0,3,2.5838730453994105,1.8596969994177925,4.1610690004745265,18.0,2.97231158782501,0.0,3,3,3,3,3,4,4,4,4,4,4
GET,/files/add/10KB?id=48,44,0,3,2.6545242726983402,1.842376999775297,4.3828640000356245,18.0,2.97231158782501,0.0,3,3,3,3,4,4,4,4,4,4,4
GET,/files/add/10KB?id=49,44,0,2,2.7078533182909514,1.7734530001689564,9.839581000051112,18.0,2.97231158782501,0.0,3,3,3,3,3,4,10,10,10,10,10
GET,/files/add/10KB?id=5,44,0,2,2.585309590916619,1.7725890002111555,4.340677000072901,17.0,2.97231158782501,0.0,2,3,3,3,3,4,4,4,4,4,4
GET,/files/add/10KB?id=50,44,0,2,2.6514713863641437,1.7496010004833806,6.0281070000201,18.0,2.97231158782501,0.0,2,3,3,3,3,5,6,6,6,6,6
GET,/files/add/10KB?id=51,44,0,3,2.560137681836171,1.720325000860612,5.837237000378082,18.0,2.97231158782501,0.0,3,3,3,3,3,4,6,6,6,6,6
GET,/files/add/10KB?id=52,44,0,2,2.5943054090475925,1.7302169999311445,4.521330999523343,18.0,2.97231158782501,0.0,3,3,3,3,3,4,5,5,5,5,5
GET,/files/add/10KB?id=53,44,0,2,2.5371932045510963,1.7774779998944723,4.921402000036323,18.0,2.97231158782501,0.0,2,3,3,3,3,4,5,5,5,5,5
