Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/files/add/1KB?id=0,45,0,5,8.91182120004588,3.1179650004560244,154.70372999971005,16.0,3.037008218089561,0.0,5,5,6,7,8,12,150,150,150,150,150
GET,/files/add/1KB?id=1,45,0,3,3.36646791123106,2.129913000317174,8.805942000435607,16.0,3.037008218089561,0.0,3,3,3,4,6,7,9,9,9,9,9
GET,/files/add/1KB?id=10,45,0,3,3.1450607555194035,1.9054790000154753,8.552528000109305,17.0,3.037008218089561,0.0,3,3,3,4,5,6,9,9,9,9,9
GET,/files/add/1KB?id=11,45,0,3,3.0654183555978105,1.8888160002461518,8.475425000142423,17.0,3.037008218089561,0.0,3,3,3,4,5,6,8,8,8,8,8
GET,/files/add/1KB?id=12,45,0,3,3.451469444492735,1.9215700003769598,7.7604640000572545,17.0,3.037008218089561,0.0,3,3,4,5,6,7,8,8,8,8,8
GET,/files/add/1KB?id=13,45,0,3,3.3460266444510327,1.9112450008833548,9.52639499973884,17.0,3.037008218089561,0.0,3,3,4,5,5,7,10,10,10,10,10
GET,/files/add/1KB?id=14,45,0,3,7.138338711188731,1.783047000571969,178.95316400063166,17.0,3.037008218089561,0.0,3,3,4,4,6,8,180,180,180,180,180
GET,/files/add/1KB?id=15,45,0,3,4.209449266676933,1.824924999709765,53.59324999972159,17.0,3.037008218089561,0.0,3,3,4,4,5,7,54,54,54,54,54
GET,/files/add/1KB?id=16,45,0,3,3.155511022244658,1.8411179999020533,6.600319999961357,17.0,3.037008218089561,0.0,3,3,4,4,5,6,7,7,7,7,7
GET,/files/add/1KB?id=17,45,0,3,3.1840859556622387,1.9660970001496025,8.37805799983471,17.0,3.037008218089561,0.0,3,3,4,4,5,6,8,8,8,8,8
GET,/files/add/1KB?id=18,45,0,3,3.133972244257974,1.932020999447559,6.783126999835076,17.0,3.037008218089561,0.0,3,3,4,4,6,6,7,7,7,7,7
GET,/files/add/1KB?id=19,45,0,3,3.07741771104904,1.8136519993277034,7.784882000123616,17.0,3.037008218089561,0.0,3,3,4,4,5,5,8,8,8,8,8
GET,/files/add/1KB?id=2,45,0,3,3.1657900667091274,1.9074440006079385,8.302417000777496,16.0,3.037008218089561,0.0,3,3,3,4,6,6,8,8,8,8,8
GET,/files/add/1KB?id=20,45,0,3,3.1135448000592683,1.7678570002317429,7.150350000301842,17.0,3.037008218089561,0.0,3,3,4,4,4,6,7,7,7,7,7
GET,/files/add/1KB?id=21,45,0,3,3.2038800444044884,1.888594999400084,8.562824000364344,17.0,3.037008218089561,0.0,3,3,4,4,6,6,9,9,9,9,9
GET,/files/add/1KB?id=22,45,0,2,3.1425050666560614,1.876958000138984,7.045798999570252,17.0,3.037008218089561,0.0,2,3,4,4,5,6,7,7,7,7,7
GET,/files/add/1KB?id=23,45,0,3,3.2208053111389745,1.8685519999053213,8.38158399983513,17.0,3.037008218089561,0.0,3,3,4,4,6,6,8,8,8,8,8
GET,/files/add/1KB?id=24,45,0,3,3.112342377709057,1.8041430002995185,6.125551999502932,17.0,3.037008218089561,0.0,3,3,4,4,5,6,6,6,6,6,6
GET,/files/add/1KB?id=25,45,0,3,2.96998197773064,1.7744469996614498,6.068733000574866,17.0,3.037008218089561,0.0,3,3,3,4,4,5,6,6,6,6,6
GET,/files/add/1KB?id=26,45,0,3,3.1218030000470915,1.8023070006165653,9.606526999959897,17.0,3.037008218089561,0.0,3,3,4,4,5,5,10,10,10,10,10
GET,/files/add/1KB?id=27,45,0,3,3.060817799915741,1.8005470001298818,6.024188999617763,17.0,3.037008218089561,0.0,3,3,4,4,5,5,6,6,6,6,6
GET,/files/add/1KB?id=28,45,0,3,3.0483055555426595,1.8032010002571042,6.095861000176228,17.0,3.037008218089561,0.0,3,3,4,4,5,6,6,6,6,6,6
