Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/files/add/10000000KB?id=0,82,0,160.0,4011.5922776951024,38.345105999951556,11111.501117999978,23.0,0.05913298411816109,0.0,170,8600,8800,9000,9400,9600,10000,11000,11000,11000,11000
GET,/files/add/10000000KB?id=1,82,0,8,8.616124451218806,6.385420000015074,24.244232999990345,23.0,0.05913298411816109,0.0,8,9,9,9,10,11,18,24,24,24,24
GET,/files/add/10000000KB?id=10,82,0,8,7.897276121937233,5.230009999991125,19.178481999915675,24.0,0.05913298411816109,0.0,8,8,8,9,9,11,12,19,19,19,19
GET,/files/add/10000000KB?id=11,82,0,7,10.292413707315696,5.29672400000436,175.1498389999142,24.0,0.05913298411816109,0.0,8,8,8,8,10,11,51,180,180,180,180
GET,/files/add/10000000KB?id=12,82,0,8,11.84635186585061,5.444585999953233,179.51228299989452,24.0,0.05913298411816109,0.0,8,8,9,9,10,15,150,180,180,180,180
GET,/files/add/10000000KB?id=13,82,0,7,7.799767365844307,5.263850999995157,22.79658199995538,24.0,0.05913298411816109,0.0,7,8,8,8,9,9,20,23,23,23,23
GET,/files/add/10000000KB?id=14,82,0,7,11.544900817040531,5.290128999945409,159.66308699989895,24.0,0.05913298411816109,0.0,7,8,8,8,9,11,160,160,160,160,160
GET,/files/add/10000000KB?id=15,82,0,7,7.6012097195239114,5.215958999997383,17.36079499983134,24.0,0.05913298411816109,0.0,7,8,8,8,9,11,13,17,17,17,17
GET,/files/add/10000000KB?id=16,82,0,8,9.438309792685464,5.205018999959066,153.73004899993248,24.0,0.05913298411816109,0.0,8,8,8,8,9,11,12,150,150,150,150
GET,/files/add/10000000KB?id=17,82,0,8,7.875736475603489,5.313289000014265,16.01469399997768,24.0,0.05913298411816109,0.0,8,8,8,9,9,11,13,16,16,16,16
GET,/files/add/10000000KB?id=18,82,0,7,7.650280353664684,5.179795999993075,15.027451999685582,24.0,0.05913298411816109,0.0,7,8,8,8,9,11,11,15,15,15,15
GET,/files/add/10000000KB?id=19,82,0,40,150.26791592683324,5.7318389999636565,8748.312315999898,24.0,0.05913298411816109,0.0,41,46,48,48,58,140,210,8700,8700,8700,8700
GET,/files/add/10000000KB?id=2,82,0,8,9.747542512202028,5.432966000171291,145.74489300002824,23.0,0.05913298411816109,0.0,8,8,9,9,10,12,19,150,150,150,150
GET,/files/add/10000000KB?id=20,82,0,8,7.732117256089501,5.356031000019357,14.605463000179952,24.0,0.05913298411816109,0.0,8,8,8,9,9,10,13,15,15,15,15
GET,/files/add/10000000KB?id=21,82,0,7,7.608175426836591,5.1697779999813065,13.998882999885609,24.0,0.05913298411816109,0.0,7,8,8,8,9,10,14,14,14,14,14
GET,/files/add/10000000KB?id=22,82,0,7,7.765485012197775,4.931225000063932,22.539584000014656,24.0,0.05913298411816109,0.0,7,8,8,8,9,10,18,23,23,23,23
GET,/files/add/10000000KB?id=23,82,0,7,7.554528865857331,5.307173000119292,13.379906999944069,24.0,0.05913298411816109,0.0,7,8,8,8,9,10,12,13,13,13,13
GET,/files/add/10000000KB?id=24,82,0,7,7.516413719511037,5.018214000074295,10.741000000052736,24.0,0.05913298411816109,0.0,7,8,8,8,9,10,10,11,11,11,11
GET,/files/add/10000000KB?id=25,82,0,7,7.595020085371222,5.018540000037319,13.737191000018356,24.0,0.05913298411816109,0.0,7,8,8,8,9,11,12,14,14,14,14
GET,/files/add/10000000KB?id=26,82,0,8,9.688210548788225,5.288070000005973,182.5126830001409,24.0,0.05913298411816109,0.0,8,8,8,8,9,10,13,180,180,180,180
GET,/files/add/10000000KB?id=27,82,0,8,117.13083404877318,5.210164999994049,8424.593950999906,24.0,0.05913298411816109,0.0,8,9,9,10,46,48,150,8400,8400,8400,8400
GET,/files/add/10000000KB?id=28,82,0,8,7.6422067805019545,5.0577929999917615,10.46406799991928,24.0,0.05913298411816109,0.0,8,8,8,9,9,10,10,10,10,10,10
GET,/files/add/10000000KB?id=29,82,0,8,7.814220243909769,5.15171899996858,18.38221100001647,24.0,0.05913298411816109,0.0,8,8,8,8,9,10,14,18,18,18,18
GET,/files/add/10000000KB?id=3,82,0,8,9.666051134143057,5.311390000088068,151.34368300005008,23.0,0.05913298411816109,0.0,8,8,8,9,9,11,17,150,150,150,150
GET,/files/add/10000000KB?id=30,82,0,8,7.721617475623112,4.727132999960304,19.240073999981178,24.0,0.05913298411816109,0.0,8,8,8,8,9,9,11,19,19,19,19
GET,/files/add/10000000KB?id=31,82,0,7,7.753959414627366,4.756589000066924,19.663622000052783,24.0,0.05913298411816109,0.0,8,8,8,9,9,10,11,20,20,20,20
GET,/files/add/10000000KB?id=32,82,0,8,7.665285256108269,4.795026000010694,13.834045000066908,24.0,0.05913298411816109,0.0,8,8,8,8,9,10,11,14,14,14,14
GET,/files/add/10000000KB?id=33,82,0,7,11.42732248781169,4.949824999926022,168.2516889999306,24.0,0.05913298411816109,0.0,8,8,9,9,9,11,150,170,170,170,170
GET,/files/add/10000000KB?id=34,82,0,8,9.935611707308498,5.160520999993423,169.31323200014958,24.0,0.05913298411816109,0.0,8,8,9,9,10,11,17,170,170,170,170
GET,/files/add/10000000KB?id=35,82,0,8,7.930882329266596,5.502811000042129,22.577719000082652,24.0,0.05913298411816109,0.0,8,8,8,9,9,10,19,23,23,23,23
GET,/files/add/10000000KB?id=36,82,0,8,7.77387485365674,5.450405000033243,18.7384790001488,24.0,0.05913298411816109,0.0,8,8,8,8,9,9,18,19,19,19,19
GET,/files/add/10000000KB?id=37,82,0,8,7.742754756117304,5.340939999996408,13.74543999997968,24.0,0.05913298411816109,0.0,8,8,8,8,9,10,11,14,14,14,14
GET,/files/add/10000000KB?id=38,82,0,8,7.741675475599772,5.649307999988196,16.47776600020734,24.0,0.05913298411816109,0.0,8,8,8,8,9,9,10,16,16,16,16
GET,/files/add/10000000KB?id=39,82,0,8,7.890483268283788,5.647533999990628,15.413862000059453,24.0,0.05913298411816109,0.0,8,8,8,9,10,11,14,15,15,15,15
GET,/files/add/10000000KB?id=4,82,0,8,8.1514409024341,5.569795999917915,23.92395799984115,23.0,0.05913298411816109,0.0,8,8,9,9,10,11,22,24,24,24,24
GET,/files/add/10000000KB?id=40,82,0,8,7.761428609776098,5.216119999886359,14.602465000052689,24.0,0.05913298411816109,0.0,8,8,8,9,9,10,11,15,15,15,15
GET,/files/add/10000000KB?id=41,82,0,7,7.8026673780619245,5.458692000047449,18.623156000103336,24.0,0.05913298411816109,0.0,8,8,8,8,9,10,15,19,19,19,19
GET,/files/add/10000000KB?id=42,82,0,8,7.681288207331042,5.817564999915703,10.35614300008092,24.0,0.05913298411816109,0.0,8,8,9,9,9,9,10,10,10,10,10
GET,/files/add/10000000KB?id=43,82,0,8,7.750052817073083,5.2828020000106335,10.283069000024625,24.0,0.05913298411816109,0.0,8,8,9,9,9,9,10,10,10,10,10
GET,/files/add/10000000KB?id=44,82,0,8,9.886473243909677,5.543774999978268,177.77744999966671,24.0,0.05913298411816109,0.0,8,8,9,9,9,10,12,180,180,180,180
GET,/files/add/10000000KB?id=45,82,0,8,7.774067829267906,5.5035789998783,11.250378000113415,24.0,0.05913298411816109,0.0,8,8,8,9,9,10,11,11,11,11,11
GET,/files/add/10000000KB?id=46,82,0,8,7.757168390229508,5.652427999848442,11.060236000048462,24.0,0.05913298411816109,0.0,8,8,8,9,9,10,11,11,11,11,11
GET,/files/add/10000000KB?id=47,82,0,8,7.651862414624103,5.56664600003387,11.398032999977659,24.0,0.05913298411816109,0.0,8,8,8,8,9,10,10,11,11,11,11
GET,/files/add/10000000KB?id=48,82,0,8,9.535579439008272,5.328956000084872,154.08403199990062,24.0,0.05913298411816109,0.0,8,8,8,9,9,11,11,150,150,150,150
GET,/files/add/10000000KB?id=49,82,0,8,7.752710048772237,5.544675000010102,10.995196000067153,24.0,0.05913298411816109,0.0,8,8,9,9,9,10,11,11,11,11,11
GET,/files/add/10000000KB?id=5,82,0,7,7.645266707315176,5.229364000115311,15.394561999983125,23.0,0.05913298411816109,0.0,8,8,8,9,9,9,12,15,15,15,15
GET,/files/add/10000000KB?id=50,82,0,8,7.864667573165306,5.39179499992315,15.211830999760423,24.0,0.05913298411816109,0.0,8,8,8,9,9,10,11,15,15,15,15
GET,/files/add/10000000KB?id=51,82,0,8,125.94503841461486,5.55642699987402,8619.65396100004,24.0,0.05913298411816109,0.0,9,20,41,45,49,52,130,8600,8600,8600,8600
GET,/files/add/10000000KB?id=52,82,0,8,7.702616670728065,5.15847700012273,10.908431000075325,24.0,0.05913298411816109,0.0,8,8,8,9,9,10,11,11,11,11,11
GET,/files/add/10000000KB?id=53,82,0,8,7.810737207317444,5.180698000003758,13.108780000038678,24.0,0.05913298411816109,0.0,8,8,8,9,9,10,11,13,13,13,13
GET,/files/add/10000000KB?id=54,82,0,8,9.74269885365097,5.3567410000141535,148.49101300001166,24.0,0.05913298411816109,0.0,8,8,9,9,10,11,16,150,150,150,150
GET,/files/add/10000000KB?id=55,82,0,8,9.59609298782547,5.718415000046662,151.18062200008353,24.0,0.05913298411816109,0.0,8,8,8,8,9,10,19,150,150,150,150
GET,/files/add/10000000KB?id=56,82,0,8,11.554065829285463,4.9411299999064795,173.6031749999256,24.0,0.05913298411816109,0.0,8,8,8,9,10,10,150,170,170,170,170
GET,/files/add/10000000KB?id=57,82,0,45,143.448420195115,6.465116999947895,8422.121756000024,24.0,0.05913298411816109,0.0,45,47,50,52,60,67,170,8400,8400,8400,8400
GET,/files/add/10000000KB?id=58,82,0,8,8.01931930488824,5.667863000098805,18.413478999946165,24.0,0.05913298411816109,0.0,8,8,9,9,9,10,12,18,18,18,18
GET,/files/add/10000000KB?id=59,82,0,8,10.351260134153263,5.527885999981663,195.985630999985,24.0,0.05913298411816109,0.0,8,8,8,9,10,10,24,200,200,200,200
