Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/files/add/10000KB?id=0,12,0,1100.0,2450.851918916063,268.30268599951523,10014.789799999562,20.0,0.8543711535990721,0.0,1500,1800,4000,4000,5300,10000,10000,10000,10000,10000,10000
GET,/files/add/10000KB?id=1,11,0,2300.0,2182.8337589090966,403.7745560017356,4528.047577001416,20.0,0.7831735574658162,0.0,2300,2900,3000,3000,3000,4500,4500,4500,4500,4500,4500
GET,/files/add/10000KB?id=10,2,0,1400.0,1491.4574160011398,1386.991660001513,1595.9231720007665,21.0,0.142395192266512,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/files/add/10000KB?id=11,2,0,1518.1399909997708,1674.0911084998515,1518.1399909997708,1830.0422259999323,21.0,0.142395192266512,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/files/add/10000KB?id=12,1,0,1523.257624998223,1523.257624998223,1523.257624998223,1523.257624998223,21.0,0.071197596133256,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/files/add/10000KB?id=13,1,0,1798.3846269999049,1798.3846269999049,1798.3846269999049,1798.3846269999049,21.0,0.071197596133256,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/files/add/10000KB?id=2,9,0,1300.0,1641.6379908890424,469.53711599780945,3980.0415509998857,20.0,0.6407783651993041,0.0,1300,1900,2200,2400,4000,4000,4000,4000,4000,4000,4000
GET,/files/add/10000KB?id=3,8,0,1100.0,1234.739249499853,584.9861249989772,1800.615635002032,20.0,0.569580769066048,0.0,1300,1500,1500,1500,1800,1800,1800,1800,1800,1800,1800
GET,/files/add/10000KB?id=4,7,0,1300.0,1212.526353285544,466.80874199955724,1685.897487001057,20.0,0.4983831729327921,0.0,1300,1500,1500,1500,1700,1700,1700,1700,1700,1700,1700
GET,/files/add/10000KB?id=5,6,0,1300.0,1319.5274050000687,838.6887980013853,1708.8110160002543,20.0,0.42718557679953606,0.0,1500,1500,1600,1600,1700,1700,1700,1700,1700,1700,1700
GET,/files/add/10000KB?id=6,5,0,1400.0,1324.3321417998231,793.0677469994407,1772.3761150009523,20.0,0.35598798066628007,0.0,1400,1500,1500,1800,1800,1800,1800,1800,1800,1800,1800
GET,/files/add/10000KB?id=7,4,0,1300.0,1366.5070092501992,904.1227279994928,1759.8487799987197,20.0,0.284790384533024,0.0,1500,1500,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/files/add/10000KB?id=8,3,0,1400.0,1351.3992989998467,1058.5500619999948,1590.3837389996625,20.0,0.21359278839976803,0.0,1400,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/files/add/10000KB?id=9,3,0,1500.0,1517.5046020000689,1192.1660789994348,1835.548603998177,20.0,0.21359278839976803,0.0,1500,1500,1800,1800,1800,1800,1800,1800,1800,1800,1800
,Aggregated,74,0,1500.0,1686.8383640809732,268.30268599951523,10014.789799999562,20.08108108108108,5.268622113860945,0.0,1500,1600,1800,1900,2900,4000,5300,10000,10000,10000,10000
