Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/files/view/10000000KB?id=0,554,0,1600.0,1786.6340578664376,6.571777001227019,4269.169979001163,20.0,7.757110355227568,0.0,1600,2500,2900,3300,3800,4000,4200,4200,4300,4300,4300
GET,/files/view/10000000KB?id=1,553,0,410.0,408.1297500398164,3.2612979994155467,904.4011710011546,20.0,7.743108350976255,0.0,410,530,580,640,760,820,860,880,900,900,900
GET,/files/view/10000000KB?id=10,541,0,540.0,477.50641734751645,4.3707460008590715,906.7944420003187,21.0,7.575084299960495,0.0,540,640,680,700,780,820,850,860,910,910,910
GET,/files/view/10000000KB?id=11,538,0,550.0,486.911079410752,4.753994999191491,881.2940940006229,21.0,7.533078287206555,0.0,550,660,690,720,800,850,860,860,880,880,880
GET,/files/view/10000000KB?id=12,534,0,550.0,492.8763249064048,4.356792000180576,873.8205169993307,21.0,7.477070270201302,0.0,550,660,700,740,810,850,860,860,870,870,870
GET,/files/view/10000000KB?id=13,530,0,560.0,499.0232936433769,4.616590000296128,871.8984269999055,21.0,7.421062253196049,0.0,560,660,700,750,820,840,860,860,870,870,870
GET,/files/view/10000000KB?id=14,526,0,570.0,501.88654817298664,4.578109999783919,906.7513450008846,21.0,7.365054236190796,0.0,570,670,700,730,810,840,850,860,910,910,910
GET,/files/view/10000000KB?id=15,524,0,590.0,510.3826397041426,5.17782899987651,876.181835999887,21.0,7.337050227688169,0.0,590,670,710,740,810,840,850,860,880,880,880
GET,/files/view/10000000KB?id=16,521,0,590.0,511.7529831362965,5.304275999151287,874.4392459993833,21.0,7.295044214934229,0.0,590,660,700,740,810,840,850,870,870,870,870
GET,/files/view/10000000KB?id=17,518,0,600.0,514.7263096853094,5.95364599939785,886.1261599995487,21.0,7.2530382021802895,0.0,600,660,700,740,810,840,850,860,890,890,890
GET,/files/view/10000000KB?id=18,516,0,610.0,522.487600275231,6.890171000122791,881.6228640007466,21.0,7.225034193677662,0.0,610,670,710,760,810,840,860,870,880,880,880
GET,/files/view/10000000KB?id=19,513,0,620.0,526.4633001111075,7.603865999044501,883.8960210014193,21.0,7.183028180923722,0.0,620,660,710,750,810,840,850,860,880,880,880
GET,/files/view/10000000KB?id=2,553,0,430.0,416.1964382748684,2.655272999618319,898.0734150009084,20.0,7.743108350976255,0.0,430,540,590,640,730,800,830,860,900,900,900
GET,/files/view/10000000KB?id=20,512,0,610.0,528.1399362187891,7.0164949993341,890.0185840011545,21.0,7.16902617667241,0.0,610,660,690,750,810,840,860,870,890,890,890
GET,/files/view/10000000KB?id=21,509,0,620.0,536.9976412946849,7.7446689992939355,875.5327569997462,21.0,7.12702016391847,0.0,620,670,720,780,810,840,860,860,880,880,880
GET,/files/view/10000000KB?id=22,505,0,620.0,540.7730655762718,7.985315000041737,908.5172610011796,21.0,7.071012146913216,0.0,620,670,710,770,810,840,860,870,910,910,910
GET,/files/view/10000000KB?id=23,502,0,620.0,542.7552250498682,9.105303999604075,883.6687340008211,21.0,7.029006134159276,0.0,620,660,700,760,810,840,850,860,880,880,880
