Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/files/view/1000000KB?id=0,43,0,4,4.785991837157188,2.8224919997228426,19.358008000381233,19.0,3.0571454854706275,0.0,4,4,5,5,6,9,19,19,19,19,19
GET,/files/view/1000000KB?id=1,43,0,2,2.7085942791145077,1.6124610001497786,4.672204000598867,19.0,3.0571454854706275,0.0,2,3,3,4,4,4,5,5,5,5,5
GET,/files/view/1000000KB?id=10,43,0,2,2.682659999959998,1.6255809996437165,6.716225000673148,20.0,3.0571454854706275,0.0,2,3,3,3,4,5,7,7,7,7,7
GET,/files/view/1000000KB?id=11,43,0,2,2.658135511621875,1.6053879999162746,5.9681580005417345,20.0,3.0571454854706275,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/files/view/1000000KB?id=12,43,0,2,2.730572837229607,1.5285519993994967,5.705218999537465,20.0,3.0571454854706275,0.0,2,3,4,4,4,5,6,6,6,6,6
GET,/files/view/1000000KB?id=13,43,0,2,2.643317255861739,1.5725640005257446,6.394960999386967,20.0,3.0571454854706275,0.0,2,3,3,4,5,5,6,6,6,6,6
GET,/files/view/1000000KB?id=14,43,0,3,2.7657826279019626,1.5727069994682097,5.193334000068717,20.0,3.0571454854706275,0.0,3,3,3,4,4,5,5,5,5,5,5
GET,/files/view/1000000KB?id=15,43,0,2,2.6598180930641533,1.4644970005974756,4.636030999790819,20.0,3.0571454854706275,0.0,2,3,3,4,4,4,5,5,5,5,5
GET,/files/view/1000000KB?id=16,43,0,2,2.648411627845679,1.5505659994232701,6.150488999992376,20.0,3.0571454854706275,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/files/view/1000000KB?id=17,43,0,2,2.611231627947005,1.6000559999156394,5.337737999980163,20.0,3.0571454854706275,0.0,2,3,3,3,4,5,5,5,5,5,5
GET,/files/view/1000000KB?id=18,43,0,2,2.719404534916468,1.5853859995331732,5.835562999891408,20.0,3.0571454854706275,0.0,2,3,3,4,4,5,6,6,6,6,6
GET,/files/view/1000000KB?id=19,43,0,2,2.6350918139520894,1.6988379993563285,4.7171289998004795,20.0,3.0571454854706275,0.0,2,3,3,4,4,4,5,5,5,5,5
GET,/files/view/1000000KB?id=2,43,0,2,2.772074744254581,1.5654339995307964,6.4490430004298105,19.0,3.0571454854706275,0.0,2,3,3,3,5,6,6,6,6,6,6
GET,/files/view/1000000KB?id=20,43,0,2,2.7438259301477026,1.60783600040304,5.775100999926508,20.0,3.0571454854706275,0.0,2,3,3,4,4,5,6,6,6,6,6
GET,/files/view/1000000KB?id=21,43,0,2,2.5512650698273807,1.5492299999095849,4.949195999870426,20.0,3.0571454854706275,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/files/view/1000000KB?id=22,43,0,2,2.6409602791276017,1.6455959994345903,6.728483000188135,20.0,3.0571454854706275,0.0,2,3,3,3,4,4,7,7,7,7,7
GET,/files/view/1000000KB?id=23,43,0,2,2.653852976817329,1.626369999939925,5.36922199989931,20.0,3.0571454854706275,0.0,2,3,3,3,4,5,5,5,5,5,5
GET,/files/view/1000000KB?id=24,43,0,2,2.736575162617915,1.7569729998285766,6.910550000611693,20.0,3.0571454854706275,0.0,2,3,3,3,4,4,7,7,7,7,7
GET,/files/view/1000000KB?id=25,43,0,2,2.73187067443021,1.6510479999851668,5.159199999980046,20.0,3.0571454854706275,0.0,2,3,3,3,4,5,5,5,5,5,5
GET,/files/view/1000000KB?id=26,43,0,2,2.885641162847182,1.6379640001105145,9.625846000744787,20.0,3.0571454854706275,0.0,2,3,3,3,4,6,10,10,10,10,10
GET,/files/view/1000000KB?id=27,43,0,3,2.6862980465561717,1.6791950001788791,5.931417999818223,20.0,3.0571454854706275,0.0,3,3,3,3,4,5,6,6,6,6,6
GET,/files/view/1000000KB?id=28,43,0,3,2.762562906989546,1.6784400004326017,6.40042800023366,20.0,3.0571454854706275,0.0,3,3,3,4,4,4,6,6,6,6,6
GET,/files/view/1000000KB?id=29,43,0,2,2.701192790672669,1.6199430001506698,5.4677739999533514,20.0,3.0571454854706275,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/files/view/1000000KB?id=3,43,0,2,2.583978023235537,1.6353889996025828,4.9719709995770245,19.0,3.0571454854706275,0.0,2,3,3,4,4,4,5,5,5,5,5
GET,/files/view/1000000KB?id=30,43,0,3,2.7448620000520116,1.632847000109905,5.350145999727829,20.0,3.0571454854706275,0.0,3,3,3,4,4,5,5,5,5,5,5
