Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/files/view/10000000KB?id=0,152,0,82,132.1439316645506,3.9339230006589787,641.7453639987798,20.0,9.433500497337054,0.0,82,100,210,260,330,430,500,620,640,640,640
GET,/files/view/10000000KB?id=1,150,0,42,53.87602019344437,2.152249000573647,250.57330499839736,20.0,9.309375490793146,0.0,43,77,85,90,100,120,180,180,250,250,250
GET,/files/view/10000000KB?id=10,139,0,55,59.60923226603823,1.9598500002757646,265.4982799995196,21.0,8.626687954801648,0.0,55,70,84,89,100,120,200,220,270,270,270
GET,/files/view/10000000KB?id=11,137,0,43,54.699479408813815,1.7639569996390492,250.06020700129739,21.0,8.50256294825774,0.0,43,63,80,90,100,120,210,240,250,250,250
GET,/files/view/10000000KB?id=12,137,0,55,56.50984833587543,1.8320550007047132,262.4764169995615,21.0,8.50256294825774,0.0,55,67,75,90,99,110,130,220,260,260,260
GET,/files/view/10000000KB?id=13,137,0,45,54.946439518307734,1.817041000322206,292.6238630006992,21.0,8.50256294825774,0.0,45,67,87,90,100,100,190,270,290,290,290
GET,/files/view/10000000KB?id=14,136,0,55,61.07579916179287,1.781314000254497,250.41807199886534,21.0,8.440500444985785,0.0,55,68,88,93,100,140,250,250,250,250,250
GET,/files/view/10000000KB?id=15,135,0,46,52.6908080889741,1.7276420003327075,239.68509399855975,21.0,8.378437941713832,0.0,46,66,81,89,98,100,130,200,240,240,240
GET,/files/view/10000000KB?id=16,134,0,57,60.81394157462822,1.7738389997248305,269.59797000017716,21.0,8.316375438441877,0.0,57,71,87,93,100,130,220,260,270,270,270
GET,/files/view/10000000KB?id=17,132,0,44,54.35604885608634,1.8416880011500325,265.5763590009883,21.0,8.192250431897968,0.0,45,65,82,86,98,100,230,260,270,270,270
GET,/files/view/10000000KB?id=18,131,0,55,56.802049450350694,1.7028429992933525,229.0913359993283,21.0,8.130187928626015,0.0,55,69,75,87,98,100,200,230,230,230,230
GET,/files/view/10000000KB?id=19,130,0,46,56.49022697693559,1.8346970009588404,268.55247499952384,21.0,8.06812542535406,0.0,48,64,84,90,100,120,190,260,270,270,270
GET,/files/view/10000000KB?id=2,149,0,59,61.87552118113281,1.9247739983256906,302.2672810002405,20.0,9.247312987521191,0.0,59,72,77,86,100,120,240,260,300,300,300
GET,/files/view/10000000KB?id=20,129,0,53,54.72845910860136,1.762650999808102,258.6122079992492,21.0,8.006062922082105,0.0,53,66,75,86,99,110,130,130,260,260,260
GET,/files/view/10000000KB?id=21,129,0,45,55.49905012402767,1.782282999556628,254.24096400092822,21.0,8.006062922082105,0.0,45,67,83,89,100,120,210,240,250,250,250
GET,/files/view/10000000KB?id=22,128,0,53,56.90552796882287,1.7431550004403107,254.66446700011147,21.0,7.944000418810151,0.0,54,68,82,92,100,120,130,210,250,250,250
GET,/files/view/10000000KB?id=23,126,0,48,57.50844747618675,1.7179469996335683,266.73179299905314,21.0,7.819875412266243,0.0,48,68,86,90,100,120,200,240,270,270,270
GET,/files/view/10000000KB?id=24,126,0,52,56.76871338100826,1.686289000645047,259.50914500026556,21.0,7.819875412266243,0.0,52,67,81,89,100,110,160,260,260,260,260
GET,/files/view/10000000KB?id=25,125,0,47,53.31668406400422,1.7137400009232806,243.78839999917545,21.0,7.757812908994288,0.0,47,67,77,88,100,110,120,120,240,240,240
GET,/files/view/10000000KB?id=26,124,0,50,62.37207558876523,1.791168999261572,268.4828880010173,21.0,7.695750405722334,0.0,51,70,92,96,110,180,240,240,270,270,270
GET,/files/view/10000000KB?id=27,124,0,50,55.40042430651914,1.744611001413432,243.09681700106012,21.0,7.695750405722334,0.0,50,66,87,94,100,120,130,160,240,240,240
GET,/files/view/10000000KB?id=28,122,0,52,54.43432679507556,1.7313179996563122,209.01544300068053,21.0,7.5716253991784255,0.0,52,69,83,88,98,110,120,130,210,210,210
GET,/files/view/10000000KB?id=29,122,0,51,59.71434695906372,2.1349729995563393,296.37923799964483,21.0,7.5716253991784255,0.0,51,71,88,94,100,120,230,270,300,300,300
GET,/files/view/10000000KB?id=3,147,0,40,54.62148225843539,1.7019949991663452,300.36883399952785,20.0,9.123187980977283,0.0,40,71,87,94,100,110,220,230,300,300,300
