Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/files/view/1KB?id=0,48,0,4,4.861478833542303,2.9055800005153287,15.484245999687118,13.0,3.185357329159321,0.0,4,4,5,5,8,11,15,15,15,15,15
GET,/files/view/1KB?id=1,48,0,2,2.6945759793003767,1.7093739988922607,5.813345000206027,13.0,3.185357329159321,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/files/view/1KB?id=10,48,0,2,2.7300872294138876,1.582455002790084,8.124496998789255,14.0,3.185357329159321,0.0,2,3,3,3,5,6,8,8,8,8,8
GET,/files/view/1KB?id=11,48,0,2,2.6831183963622607,1.5283329994417727,8.005013998626964,14.0,3.185357329159321,0.0,2,3,3,3,5,6,8,8,8,8,8
GET,/files/view/1KB?id=12,47,0,2,2.6927829785563517,1.4900210007908754,8.097152000118513,14.0,3.118995718135168,0.0,2,3,3,3,5,7,8,8,8,8,8
GET,/files/view/1KB?id=13,47,0,2,2.764036085167429,1.5889560017967597,8.437426000455162,14.0,3.118995718135168,0.0,2,3,3,3,6,7,8,8,8,8,8
GET,/files/view/1KB?id=14,47,0,2,2.61420425522374,1.5890930008026771,6.832050999946659,14.0,3.118995718135168,0.0,2,3,3,3,4,6,7,7,7,7,7
GET,/files/view/1KB?id=15,47,0,2,2.5466442125337942,1.5996910005924292,8.548130001145182,14.0,3.118995718135168,0.0,2,3,3,3,4,5,9,9,9,9,9
GET,/files/view/1KB?id=16,47,0,2,2.498954254948098,1.51806400026544,6.1878439992142376,14.0,3.118995718135168,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/files/view/1KB?id=17,47,0,2,2.4706869574382586,1.5689409992774017,5.783600998256588,14.0,3.118995718135168,0.0,2,3,3,3,4,6,6,6,6,6,6
GET,/files/view/1KB?id=18,47,0,2,2.582591340429412,1.518480999948224,7.585237999592209,14.0,3.118995718135168,0.0,2,2,3,3,4,6,8,8,8,8,8
GET,/files/view/1KB?id=19,47,0,2,2.4855941064356073,1.5487269993172958,5.922207001276547,14.0,3.118995718135168,0.0,2,3,3,3,4,6,6,6,6,6,6
GET,/files/view/1KB?id=2,48,0,2,2.8172125000764936,1.6104269998322707,7.6008279975212645,13.0,3.185357329159321,0.0,2,3,3,4,5,6,8,8,8,8,8
GET,/files/view/1KB?id=20,47,0,2,2.515397319044457,1.5898790006758645,6.915574002050562,14.0,3.118995718135168,0.0,2,3,3,3,4,5,7,7,7,7,7
GET,/files/view/1KB?id=21,47,0,2,2.5844490852985937,1.5494120016228408,14.002548999997089,14.0,3.118995718135168,0.0,2,2,3,3,4,6,14,14,14,14,14
GET,/files/view/1KB?id=22,47,0,2,2.599164872198673,1.4888279984006658,9.134535001066979,14.0,3.118995718135168,0.0,2,2,3,3,5,6,9,9,9,9,9
GET,/files/view/1KB?id=23,47,0,2,2.44355246839869,1.5944699989631772,6.296886000200175,14.0,3.118995718135168,0.0,2,2,3,3,4,6,6,6,6,6,6
GET,/files/view/1KB?id=24,47,0,2,2.5411810000808512,1.5971669999998994,8.001881000382127,14.0,3.118995718135168,0.0,2,2,3,3,5,6,8,8,8,8,8
GET,/files/view/1KB?id=25,47,0,2,2.4811377657665328,1.5991379987099208,6.2330649998330045,14.0,3.118995718135168,0.0,2,3,3,3,4,6,6,6,6,6,6
GET,/files/view/1KB?id=26,47,0,2,2.5607346593615343,1.56388800314744,6.98137400104315,14.0,3.118995718135168,0.0,2,3,3,3,5,6,7,7,7,7,7
GET,/files/view/1KB?id=27,47,0,2,2.4616935315475046,1.5638909972039983,6.761458997061709,14.0,3.118995718135168,0.0,2,2,3,3,5,6,7,7,7,7,7
GET,/files/view/1KB?id=28,47,0,2,2.551187212954206,1.4957319981476758,6.901812997966772,14.0,3.118995718135168,0.0,2,2,3,3,5,6,7,7,7,7,7
GET,/files/view/1KB?id=29,47,0,2,2.4874875961494523,1.4713660020788666,6.958687001315411,14.0,3.118995718135168,0.0,2,3,3,3,4,6,7,7,7,7,7
GET,/files/view/1KB?id=3,48,0,2,2.7965558123620817,1.60526900072,7.530260001658462,13.0,3.185357329159321,0.0,2,3,3,3,5,6,8,8,8,8,8
GET,/files/view/1KB?id=30,47,0,2,2.5718668085631933,1.482643998315325,7.670208000490675,14.0,3.118995718135168,0.0,2,3,3,3,5,6,8,8,8,8,8
GET,/files/view/1KB?id=31,47,0,2,2.4975180001112016,1.4780330020585097,6.948413996724412,14.0,3.118995718135168,0.0,2,3,3,3,4,5,7,7,7,7,7
GET,/files/view/1KB?id=32,47,0,2,2.5770456811593982,1.515471001766855,7.350958996539703,14.0,3.118995718135168,0.0,2,2,3,3,5,6,7,7,7,7,7
GET,/files/view/1KB?id=33,47,0,2,2.4938847659251087,1.5977369985193945,6.8631460017059,14.0,3.118995718135168,0.0,2,3,3,3,4,6,7,7,7,7,7
GET,/files/view/1KB?id=34,47,0,2,2.592755191723514,1.5671580003981944,6.825602002209052,14.0,3.118995718135168,0.0,2,3,3,3,4,6,7,7,7,7,7
GET,/files/view/1KB?id=35,47,0,2,2.630762234323985,1.5531550016021356,9.505221001745667,14.0,3.118995718135168,0.0,2,2,3,3,4,7,10,10,10,10,10
GET,/files/view/1KB?id=36,47,0,2,2.51274799998971,1.5458310008398257,5.7965800006059,14.0,3.118995718135168,0.0,2,3,3,3,5,5,6,6,6,6,6
GET,/files/view/1KB?id=37,47,0,2,2.614725404357082,1.6167590001714416,8.14717800312792,14.0,3.118995718135168,0.0,2,2,3,3,4,7,8,8,8,8,8
GET,/files/view/1KB?id=38,47,0,2,2.490450383041381,1.6161659987119492,5.683276998752262,14.0,3.118995718135168,0.0,2,2,3,3,5,5,6,6,6,6,6
GET,/files/view/1KB?id=39,47,0,2,2.5615568936584476,1.5572949996567331,6.577218999154866,14.0,3.118995718135168,0.0,2,3,3,3,4,6,7,7,7,7,7
GET,/files/view/1KB?id=4,48,0,2,2.752726103835812,1.6272189968731254,8.003197999641998,13.0,3.185357329159321,0.0,2,3,3,3,5,5,8,8,8,8,8
GET,/files/view/1KB?id=40,47,0,2,2.535153489356781,1.5792070007591974,6.116639997344464,14.0,3.118995718135168,0.0,2,3,3,3,4,6,6,6,6,6,6
GET,/files/view/1KB?id=41,47,0,2,2.5587047444361737,1.5445069984707516,7.054246998450253,14.0,3.118995718135168,0.0,2,2,3,3,4,5,7,7,7,7,7
GET,/files/view/1KB?id=42,47,0,2,2.574330957902427,1.6092900004878175,6.479067000327632,14.0,3.118995718135168,0.0,2,3,3,3,4,6,6,6,6,6,6
GET,/files/view/1KB?id=43,47,0,2,2.5804041489460903,1.5970999993442092,5.97424900115584,14.0,3.118995718135168,0.0,2,3,3,3,5,6,6,6,6,6,6
GET,/files/view/1KB?id=44,47,0,2,2.4834091701895304,1.6164929984370247,6.534610998642165,14.0,3.118995718135168,0.0,2,2,3,3,4,5,7,7,7,7,7
GET,/files/view/1KB?id=45,47,0,2,2.5669220638984043,1.5503309987252578,7.065430996590294,14.0,3.118995718135168,0.0,2,2,3,3,5,6,7,7,7,7,7
GET,/files/view/1KB?id=46,47,0,2,2.4607398084667014,1.6651549995003734,5.705909999960568,14.0,3.118995718135168,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/files/view/1KB?id=47,47,0,2,2.671399787396559,1.564090998726897,7.707938999374164,14.0,3.118995718135168,0.0,2,2,3,4,6,6,8,8,8,8,8
GET,/files/view/1KB?id=48,47,0,2,2.528339169812364,1.537209998787148,5.965372001810465,14.0,3.118995718135168,0.0,2,2,3,3,4,5,6,6,6,6,6
GET,/files/view/1KB?id=49,47,0,2,2.720426170042706,1.529618999484228,7.9590199966332875,14.0,3.118995718135168,0.0,2,3,3,3,6,6,8,8,8,8,8
GET,/files/view/1KB?id=5,48,0,2,2.751737083296272,1.5961020035319962,7.779331001074752,13.0,3.185357329159321,0.0,2,3,3,3,5,6,8,8,8,8,8
GET,/files/view/1KB?id=50,47,0,2,2.5058718084108746,1.5258799976436421,5.820495000079973,14.0,3.118995718135168,0.0,2,2,3,3,4,5,6,6,6,6,6
GET,/files/view/1KB?id=51,47,0,2,2.5641244681034374,1.6124590001709294,5.818620997160906,14.0,3.118995718135168,0.0,2,2,3,4,4,6,6,6,6,6,6
GET,/files/view/1KB?id=52,47,0,2,2.548452213074036,1.5822599998500664,7.54633299948182,14.0,3.118995718135168,0.0,2,2,3,3,4,5,8,8,8,8,8
GET,/files/view/1KB?id=53,47,0,2,2.593580106668982,1.584216999617638,6.035258000338217,14.0,3.118995718135168,0.0,2,2,3,3,5,6,6,6,6,6,6
GET,/files/view/1KB?id=54,47,0,2,2.557127936210662,1.5890939976088703,6.890157997986535,14.0,3.118995718135168,0.0,2,3,3,4,4,4,7,7,7,7,7
