Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fake-redis/add?id=0,460,0,1900.0,1878.2828925456447,6.293302000358381,4079.2194509999717,2.0,7.566606154493272,0.0,1900,2600,3300,3600,3800,3800,3900,4000,4100,4100,4100
GET,/fake-redis/add?id=1,459,0,390.0,407.5929998365923,2.4330240003109793,927.6691219997701,2.0,7.550157010679156,0.0,390,550,590,620,710,790,880,910,930,930,930
GET,/fake-redis/add?id=10,447,0,530.0,464.31503634005855,4.850383999837504,921.2577079997573,2.0,7.352767284909766,0.0,530,600,630,650,760,800,850,880,920,920,920
GET,/fake-redis/add?id=11,445,0,550.0,472.87473785392143,5.057769000359258,926.1996889999864,2.0,7.319868997281535,0.0,550,600,630,660,760,800,850,890,930,930,930
GET,/fake-redis/add?id=12,443,0,550.0,475.4170108013478,4.4544269999278185,895.978751000257,2.0,7.286970709653303,0.0,550,600,630,660,760,800,870,890,900,900,900
GET,/fake-redis/add?id=13,441,0,550.0,472.52368397053004,4.263181000169425,900.0300470002003,2.0,7.254072422025072,0.0,550,590,620,640,750,800,840,880,900,900,900
GET,/fake-redis/add?id=14,438,0,560.0,481.00875193607845,5.555762999847502,918.7166950000574,2.0,7.204724990582724,0.0,560,590,630,670,780,800,840,880,920,920,920
GET,/fake-redis/add?id=15,437,0,550.0,485.2034283867275,4.638021000118897,922.4912179997773,2.0,7.188275846768608,0.0,550,590,640,680,780,800,840,890,920,920,920
GET,/fake-redis/add?id=16,435,0,560.0,486.99714673562966,5.935603000125411,911.456238000028,2.0,7.155377559140376,0.0,560,590,630,660,760,800,860,880,910,910,910
GET,/fake-redis/add?id=17,433,0,550.0,489.3050194826767,5.318898000041372,891.1415759998818,2.0,7.122479271512145,0.0,550,590,620,650,760,790,820,860,890,890,890
GET,/fake-redis/add?id=18,432,0,550.0,495.2286721226769,7.4580749997039675,896.2972980002633,2.0,7.1060301276980296,0.0,560,600,640,680,770,800,840,880,900,900,900
GET,/fake-redis/add?id=19,428,0,560.0,496.2345532126155,8.959538999988581,913.9142239996545,2.0,7.040233552441566,0.0,560,590,640,670,760,800,810,870,910,910,910
GET,/fake-redis/add?id=2,458,0,420.0,415.39749322051705,2.5209580003320298,914.8366720000922,2.0,7.53370786686504,0.0,420,550,590,620,690,760,880,900,910,910,910
GET,/fake-redis/add?id=20,427,0,550.0,494.6523055386457,7.990648000031797,922.1016500000587,2.0,7.02378440862745,0.0,550,590,630,660,750,800,850,880,920,920,920
GET,/fake-redis/add?id=21,424,0,560.0,504.1376596344363,10.510476999570528,898.0672699999559,2.0,6.9744369771851025,0.0,560,590,640,680,770,800,830,850,900,900,900
GET,/fake-redis/add?id=22,421,0,560.0,504.038280674567,8.462604000214924,895.9135579998474,2.0,6.925089545742756,0.0,560,590,630,670,770,800,840,880,900,900,900
GET,/fake-redis/add?id=23,418,0,550.0,508.9247241267818,10.34881800023868,888.4115999999267,2.0,6.875742114300408,0.0,550,590,640,680,770,790,840,880,890,890,890
GET,/fake-redis/add?id=24,415,0,550.0,507.20056332048506,10.76102599972728,918.1957750001857,2.0,6.82639468285806,0.0,550,580,630,670,770,800,850,860,920,920,920
GET,/fake-redis/add?id=25,414,0,550.0,511.5817526232059,10.705857000175456,895.9427949998826,2.0,6.8099455390439445,0.0,550,590,650,680,760,800,820,870,900,900,900
GET,/fake-redis/add?id=26,412,0,550.0,515.4413969927168,11.826607999864791,891.7647169996599,2.0,6.777047251415713,0.0,550,590,640,680,770,800,830,880,890,890,890
GET,/fake-redis/add?id=27,408,0,560.0,515.8559433186334,11.950440999953571,886.872435999976,2.0,6.71125067615925,0.0,560,590,630,660,740,780,800,840,890,890,890
GET,/fake-redis/add?id=28,407,0,560.0,516.2325832653598,12.701137000021845,901.3115220000145,2.0,6.694801532345134,0.0,560,580,630,660,750,780,820,830,900,900,900
GET,/fake-redis/add?id=29,405,0,560.0,527.3408047654318,13.391400999807956,917.9026550000344,2.0,6.661903244716902,0.0,560,600,650,680,760,800,840,880,920,920,920
GET,/fake-redis/add?id=3,457,0,460.0,426.43212658424767,2.5984240000980208,901.6001949999009,2.0,7.517258723050925,0.0,460,570,620,640,710,790,870,890,900,900,900
GET,/fake-redis/add?id=30,402,0,560.0,525.9435419204005,14.263385000049311,859.0025550001883,2.0,6.612555813274555,0.0,560,610,650,680,750,790,810,830,860,860,860
GET,/fake-redis/add?id=31,400,0,550.0,522.4185550499933,14.797879999605357,893.5405359998185,2.0,6.579657525646323,0.0,550,580,630,660,750,790,840,870,890,890,890
GET,/fake-redis/add?id=32,397,0,550.0,527.5291935919439,16.053665000072215,873.2009669997751,2.0,6.530310094203976,0.0,550,590,640,670,750,800,830,840,870,870,870
GET,/fake-redis/add?id=33,394,0,550.0,525.907494126898,19.553360999907454,895.3650630000993,2.0,6.480962662761629,0.0,550,590,650,660,730,780,820,880,900,900,900
GET,/fake-redis/add?id=34,393,0,550.0,527.5729120407073,17.15433600020333,902.2087509997618,2.0,6.464513518947513,0.0,550,600,640,660,730,780,840,870,900,900,900
GET,/fake-redis/add?id=35,393,0,540.0,520.1154740254536,22.10305700009485,887.5898940000297,2.0,6.464513518947513,0.0,540,580,620,650,710,780,800,820,890,890,890
GET,/fake-redis/add?id=36,388,0,550.0,528.3706001701174,22.17057500001829,883.3932379998259,2.0,6.382267799876934,0.0,550,590,640,660,720,790,820,840,880,880,880
GET,/fake-redis/add?id=37,385,0,550.0,530.6523785714198,30.079982000188465,911.467533999712,2.0,6.3329203684345865,0.0,550,600,650,660,720,780,820,850,910,910,910
GET,/fake-redis/add?id=38,379,0,540.0,523.0765012691428,33.5775220000869,890.3348960002404,2.0,6.234225505549891,0.0,540,590,630,650,690,760,800,870,890,890,890
GET,/fake-redis/add?id=39,377,0,530.0,520.7891186949776,27.428716000031272,885.7840299997406,2.0,6.201327217921659,0.0,530,580,630,640,720,770,820,850,890,890,890
GET,/fake-redis/add?id=4,456,0,470.0,432.12136265569586,2.531919999910315,906.1203480000586,2.0,7.500809579236809,0.0,480,570,630,650,760,810,870,890,910,910,910
GET,/fake-redis/add?id=40,377,0,540.0,525.1859694960226,29.73397499999919,917.1869380002136,2.0,6.201327217921659,0.0,540,580,630,650,710,790,810,840,920,920,920
GET,/fake-redis/add?id=41,369,0,540.0,520.6837820081157,29.770043000098667,922.0888909999303,2.0,6.069734067408733,0.0,540,580,610,640,700,770,800,850,920,920,920
GET,/fake-redis/add?id=42,366,0,530.0,521.5157652186003,28.998585999943316,897.3997850002888,2.0,6.020386635966386,0.0,530,580,610,640,700,770,810,850,900,900,900
GET,/fake-redis/add?id=43,364,0,530.0,517.9626178818494,31.420097000136593,878.1656749997637,2.0,5.987488348338155,0.0,530,570,620,640,700,750,800,830,880,880,880
GET,/fake-redis/add?id=44,361,0,530.0,518.1973856592764,31.28856600005747,895.3250689996821,2.0,5.938140916895807,0.0,530,570,640,650,710,770,790,870,900,900,900
GET,/fake-redis/add?id=45,359,0,510.0,505.2879474289619,36.82877500023096,890.3973439996662,2.0,5.905242629267575,0.0,510,560,590,620,690,760,800,850,890,890,890
GET,/fake-redis/add?id=46,357,0,530.0,517.7154077422958,44.55047100009324,869.8182450002605,2.0,5.8723443416393435,0.0,530,570,610,630,690,780,800,830,870,870,870
GET,/fake-redis/add?id=47,354,0,520.0,511.1026118192151,40.1859149997108,898.5225329997775,2.0,5.822996910196996,0.0,520,570,600,620,690,750,790,820,900,900,900
GET,/fake-redis/add?id=48,351,0,520.0,507.4857952336228,42.68697599991356,886.4054329997089,2.0,5.773649478754649,0.0,520,560,600,620,690,740,800,810,890,890,890
GET,/fake-redis/add?id=49,349,0,500.0,502.30566691403976,40.64138900002945,880.4443579997496,2.0,5.740751191126417,0.0,500,560,590,620,680,750,800,810,880,880,880
GET,/fake-redis/add?id=5,454,0,480.0,439.85490382598385,2.532427000005555,917.3557379999693,2.0,7.467911291608577,0.0,480,580,630,650,760,800,850,890,920,920,920
