Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fake-redis/add?id=0,49,0,4,4.681709244898824,2.629157000228588,16.790240999853268,2.0,3.2944264948960096,0.0,4,4,5,5,6,8,17,17,17,17,17
GET,/fake-redis/add?id=1,49,0,3,2.7193292857636875,1.891334999982064,7.049153000025399,2.0,3.2944264948960096,0.0,3,3,3,3,4,5,7,7,7,7,7
GET,/fake-redis/add?id=10,49,0,2,2.5874453673372493,1.6615989998172154,5.290440999942803,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,5,5,5,5,5
GET,/fake-redis/add?id=11,49,0,2,2.5684117346678916,1.6936639999585168,5.798008000056143,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,6,6,6,6,6
GET,/fake-redis/add?id=12,49,0,2,2.5611776734468568,1.7683259998193535,4.905959000097937,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/fake-redis/add?id=13,49,0,2,2.6189078775485317,1.72376999989865,5.713444000321033,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,6,6,6,6,6
GET,/fake-redis/add?id=14,49,0,2,2.615464285693689,1.702500999726908,5.490862999977253,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,5,5,5,5,5
GET,/fake-redis/add?id=15,49,0,2,2.579391775493512,1.6570280004089,5.578140000125131,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,6,6,6,6,6
GET,/fake-redis/add?id=16,49,0,2,2.6298545306009165,1.7253259998142312,5.680131000190158,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/fake-redis/add?id=17,49,0,2,2.6270599999740942,1.6106880002553225,5.552142999931675,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/fake-redis/add?id=18,49,0,2,2.545072755134354,1.6566750000492902,4.898955000044225,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/fake-redis/add?id=19,49,0,2,2.601413285716188,1.7089349998968828,5.090216000098735,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,5,5,5,5,5
GET,/fake-redis/add?id=2,49,0,2,2.6517075306197064,1.7724039998938679,5.768800000168994,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/fake-redis/add?id=20,49,0,2,2.5809133674055356,1.6506560000379977,5.418044000180089,2.0,3.2944264948960096,0.0,2,3,3,3,5,5,5,5,5,5,5
GET,/fake-redis/add?id=21,49,0,2,2.445626632630147,1.6426410002168268,4.45229000024483,2.0,3.2944264948960096,0.0,2,3,3,3,3,4,4,4,4,4,4
GET,/fake-redis/add?id=22,49,0,2,2.6139365102014325,1.6873790000317967,5.64223099991068,2.0,3.2944264948960096,0.0,2,3,3,3,5,5,6,6,6,6,6
GET,/fake-redis/add?id=23,49,0,2,2.511406816313179,1.7082360000131303,5.553334999603976,2.0,3.2944264948960096,0.0,2,3,3,3,3,4,6,6,6,6,6
GET,/fake-redis/add?id=24,49,0,2,2.5882342857139706,1.787758999853395,6.018321999817999,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/fake-redis/add?id=25,49,0,2,2.6496422857068254,1.7492420001872233,6.624084999657498,2.0,3.2944264948960096,0.0,2,3,3,4,4,5,7,7,7,7,7
GET,/fake-redis/add?id=26,49,0,2,2.592273591818987,1.7344839998258976,5.729681000048004,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,6,6,6,6,6
GET,/fake-redis/add?id=27,49,0,2,2.6684918367691908,1.6197170002669736,8.535086999927444,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,9,9,9,9,9
GET,/fake-redis/add?id=28,49,0,2,2.8143159795815467,1.813701999708428,14.14173800003482,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,14,14,14,14,14
GET,/fake-redis/add?id=29,49,0,2,2.5597019591575134,1.7337160002171004,5.72744999999486,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,6,6,6,6,6
GET,/fake-redis/add?id=3,49,0,2,2.6531083673981644,1.7416480000065349,5.943685000147525,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/fake-redis/add?id=30,49,0,2,2.5667078979198297,1.7705709997244412,5.080570000245643,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/fake-redis/add?id=31,49,0,2,2.6119666734358566,1.7860459997791622,5.496194999977888,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/fake-redis/add?id=32,49,0,2,2.4970416326531057,1.7178899997816188,4.986719000044104,2.0,3.2944264948960096,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/fake-redis/add?id=33,49,0,2,2.589458836758481,1.789182999800687,5.669315999966784,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/fake-redis/add?id=34,49,0,2,2.582298979548944,1.7535480001242831,5.510754999704659,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/fake-redis/add?id=35,49,0,2,2.5744353265230417,1.6457319998153253,5.2545359999385255,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,5,5,5,5,5
GET,/fake-redis/add?id=36,49,0,2,2.5917786938685934,1.7693469999358058,5.299645999912173,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/fake-redis/add?id=37,49,0,2,2.56503040811033,1.838700999996945,5.134281999744417,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/fake-redis/add?id=38,49,0,2,2.662053816326376,1.7663080002421339,6.160930000078224,2.0,3.2944264948960096,0.0,2,3,3,4,4,5,6,6,6,6,6
GET,/fake-redis/add?id=39,49,0,2,2.607463795895307,1.7777289999685308,5.340806000276643,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,5,5,5,5,5
GET,/fake-redis/add?id=4,49,0,2,2.5725646122996944,1.7322650001005968,5.697239999790327,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,6,6,6,6,6
GET,/fake-redis/add?id=40,49,0,2,2.596851020436069,1.786310000170488,5.645150000418653,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/fake-redis/add?id=41,49,0,2,2.5223384285412496,1.839673999711522,5.00813400003608,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/fake-redis/add?id=42,49,0,2,2.483150999959973,1.7507210000076157,5.969220999759273,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,6,6,6,6,6
GET,/fake-redis/add?id=43,49,0,2,2.584272714297445,1.7889830000967777,4.785711000295123,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,5,5,5,5,5
GET,/fake-redis/add?id=44,49,0,2,2.713652816343098,1.6807179999887012,8.508573999733926,2.0,3.2944264948960096,0.0,2,3,3,3,5,5,9,9,9,9,9
GET,/fake-redis/add?id=45,49,0,2,2.6308370000114505,1.6287290000036592,6.365036000261171,2.0,3.2944264948960096,0.0,2,3,3,3,4,6,6,6,6,6,6
GET,/fake-redis/add?id=46,49,0,3,2.6275446326341196,1.6413170001214894,5.904536999878474,2.0,3.2944264948960096,0.0,3,3,3,3,4,5,6,6,6,6,6
GET,/fake-redis/add?id=47,49,0,3,2.6045504081761166,1.6942639999797393,5.835500999637588,2.0,3.2944264948960096,0.0,3,3,3,3,4,4,6,6,6,6,6
GET,/fake-redis/add?id=48,49,0,2,2.601981551007918,1.7084880000766134,4.6034570000301755,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/fake-redis/add?id=49,49,0,2,2.8599897346998198,1.7823260000113805,13.454773000376008,2.0,3.2944264948960096,0.0,2,3,3,3,4,6,13,13,13,13,13
GET,/fake-redis/add?id=5,49,0,2,2.605109469409306,1.7974239999603014,5.954760999884456,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/fake-redis/add?id=50,49,0,2,2.577527040854448,1.7811070001698681,4.763340000408789,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/fake-redis/add?id=51,49,0,2,2.6020759387021677,1.7668609998509055,5.655505000049743,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,6,6,6,6,6
GET,/fake-redis/add?id=52,49,0,2,2.6204225918616206,1.8393730001662334,4.908003999844368,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/fake-redis/add?id=53,49,0,2,2.669191265275523,1.6639509999549773,5.615410999780579,2.0,3.2944264948960096,0.0,2,3,3,4,4,5,6,6,6,6,6
GET,/fake-redis/add?id=54,49,0,2,2.5249634898092173,1.6801359997771215,4.608471000210557,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/fake-redis/add?id=55,49,0,2,2.593839040809125,1.761125000030006,5.469703000017034,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,5,5,5,5,5
GET,/fake-redis/add?id=56,49,0,2,2.570015367354597,1.7081559999496676,5.35750500012,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/fake-redis/add?id=57,49,0,2,2.5734373469610863,1.6627459999654093,6.075030999909359,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/fake-redis/add?id=58,49,0,2,2.4979724489732726,1.6787039999144326,5.074928999874828,2.0,3.2944264948960096,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/fake-redis/add?id=59,49,0,2,2.473675877530584,1.6852339999786636,4.8708320000514504,2.0,3.2944264948960096,0.0,2,2,3,3,4,4,5,5,5,5,5
GET,/fake-redis/add?id=6,49,0,2,2.5649507142867263,1.6955599999164406,4.754741999931866,2.0,3.2944264948960096,0.0,2,3,3,3,4,5,5,5,5,5,5
