Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fake-redis/delete?id=0,516,0,1700.0,1923.5503870445582,5.627221999930043,4884.575498999766,11.0,7.427264254273604,0.0,1700,2600,3000,3500,4400,4600,4800,4800,4900,4900,4900
GET,/fake-redis/delete?id=1,515,0,420.0,426.1725418873926,4.262655999809795,1129.8299770005542,11.0,7.412870331300206,0.0,420,580,640,680,740,840,1000,1100,1100,1100,1100
GET,/fake-redis/delete?id=10,496,0,570.0,495.16459726616006,5.513229000825959,1146.3481689997934,12.0,7.139385794805635,0.0,570,640,690,730,800,890,980,1100,1100,1100,1100
GET,/fake-redis/delete?id=11,493,0,580.0,503.68278108722103,5.432074999589531,1135.0864180003555,12.0,7.09620402588544,0.0,580,660,700,730,790,870,950,1100,1100,1100,1100
GET,/fake-redis/delete?id=12,489,0,600.0,522.1944713333319,5.721644000004744,1150.3172520006046,12.0,7.038628333991846,0.0,600,670,710,760,830,890,1000,1100,1200,1200,1200
GET,/fake-redis/delete?id=13,487,0,610.0,520.1789725297783,6.624218999604636,1146.557269999903,12.0,7.009840488045049,0.0,610,680,710,740,810,870,930,1000,1100,1100,1100
GET,/fake-redis/delete?id=14,483,0,610.0,526.9763725155542,5.693887999768776,1142.4706640000295,12.0,6.952264796151455,0.0,610,670,710,740,810,870,950,1000,1100,1100,1100
GET,/fake-redis/delete?id=15,478,0,610.0,535.15715132007,6.39796599989495,1151.680328999646,12.0,6.880295181284463,0.0,620,680,720,760,820,880,1000,1100,1200,1200,1200
GET,/fake-redis/delete?id=16,473,0,620.0,532.329923879506,5.794075000267185,1097.384687000158,12.0,6.80832556641747,0.0,620,680,710,740,810,860,900,1000,1100,1100,1100
GET,/fake-redis/delete?id=17,473,0,630.0,546.0346523593886,8.786252999925637,1143.9773279998917,12.0,6.80832556641747,0.0,630,690,730,760,820,880,1000,1100,1100,1100,1100
GET,/fake-redis/delete?id=18,472,0,640.0,558.7879835085022,7.0599310001853155,1137.5563980000152,12.0,6.793931643444072,0.0,640,690,730,760,840,940,1100,1100,1100,1100,1100
GET,/fake-redis/delete?id=19,470,0,630.0,560.1268373914711,9.13445700007287,1147.2492789998796,12.0,6.7651437974972755,0.0,630,690,720,760,840,910,1100,1100,1100,1100,1100
GET,/fake-redis/delete?id=2,510,0,430.0,441.46372644117935,3.110708999884082,1158.0541180001092,11.0,7.340900716433214,0.0,430,590,660,680,780,880,1000,1100,1200,1200,1200
GET,/fake-redis/delete?id=20,467,0,650.0,570.2862410556355,8.089435999863781,1150.8758809995925,12.0,6.72196202857708,0.0,650,700,740,770,830,970,1100,1100,1200,1200,1200
GET,/fake-redis/delete?id=21,460,0,640.0,575.1610003173795,9.718285000417382,1160.198503999709,12.0,6.62120456776329,0.0,640,700,750,780,830,930,1100,1100,1200,1200,1200
GET,/fake-redis/delete?id=22,457,0,640.0,567.3156476258229,11.405835000005027,1140.1227950000248,12.0,6.5780227988430955,0.0,640,680,730,770,820,890,1000,1100,1100,1100,1100
GET,/fake-redis/delete?id=23,455,0,640.0,576.6961998703515,10.647656000401184,1141.4464259996748,12.0,6.549234952896298,0.0,640,690,740,770,830,940,1100,1100,1100,1100,1100
GET,/fake-redis/delete?id=24,453,0,640.0,576.9006876865429,11.226659000385553,1142.7049879994229,12.0,6.520447106949502,0.0,640,680,730,770,820,900,1100,1100,1100,1100,1100
GET,/fake-redis/delete?id=25,449,0,640.0,580.3563542984293,15.682934999858844,1126.2021490001644,12.0,6.462871415055908,0.0,640,700,750,770,820,880,1100,1100,1100,1100,1100
