Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fake-redis/delete?id=0,47,0,4,5.109868574417054,2.836483999999473,18.80465100020956,11.0,3.124147089851063,0.0,4,5,5,6,8,10,19,19,19,19,19
GET,/fake-redis/delete?id=1,47,0,3,2.93103687231741,1.9693799995366135,5.2297070005806745,11.0,3.124147089851063,0.0,3,3,3,3,5,5,5,5,5,5,5
GET,/fake-redis/delete?id=10,46,0,2,2.815775086891454,1.7771969996829284,6.285821999881591,12.0,3.0576758751733806,0.0,2,3,3,4,5,5,6,6,6,6,6
GET,/fake-redis/delete?id=11,46,0,2,2.826880021747575,1.6333029998349957,7.3751989993979805,12.0,3.0576758751733806,0.0,2,3,3,3,5,5,7,7,7,7,7
GET,/fake-redis/delete?id=12,46,0,2,2.7336268043575767,1.5891469993221108,6.069660000321164,12.0,3.0576758751733806,0.0,2,3,3,4,4,5,6,6,6,6,6
GET,/fake-redis/delete?id=13,46,0,2,2.7287791522014784,1.6902769993976108,6.013827000060701,12.0,3.0576758751733806,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/fake-redis/delete?id=14,46,0,2,2.7687078043566977,1.7296789992542472,8.39826700030244,12.0,3.0576758751733806,0.0,2,3,3,4,4,5,8,8,8,8,8
GET,/fake-redis/delete?id=15,46,0,2,2.8047568695475764,1.6779190000306698,6.88858900048217,12.0,3.0576758751733806,0.0,2,3,3,4,4,6,7,7,7,7,7
GET,/fake-redis/delete?id=16,46,0,2,2.732104152172447,1.7411759999959031,7.807043999491725,12.0,3.0576758751733806,0.0,2,3,3,3,4,5,8,8,8,8,8
GET,/fake-redis/delete?id=17,46,0,2,2.7339846957622047,1.7627010001888266,7.0722360005675,12.0,3.0576758751733806,0.0,2,3,3,3,4,5,7,7,7,7,7
GET,/fake-redis/delete?id=18,46,0,2,2.7313288043605217,1.6502090002177283,9.08757399975002,12.0,3.0576758751733806,0.0,2,3,3,3,4,4,9,9,9,9,9
GET,/fake-redis/delete?id=19,46,0,2,2.727969782604898,1.7144680005003465,8.124167999994825,12.0,3.0576758751733806,0.0,2,3,3,3,4,5,8,8,8,8,8
GET,/fake-redis/delete?id=2,47,0,2,2.988976723324239,1.8326529998375918,7.416120000016235,11.0,3.124147089851063,0.0,2,3,3,3,5,7,7,7,7,7,7
GET,/fake-redis/delete?id=20,46,0,2,2.701313326072167,1.75945099999808,6.919888999618706,12.0,3.0576758751733806,0.0,2,3,3,4,4,5,7,7,7,7,7
GET,/fake-redis/delete?id=21,46,0,2,2.6694342172959296,1.7768540001270594,6.861738999759837,12.0,3.0576758751733806,0.0,2,3,3,3,4,4,7,7,7,7,7
