Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fake-redis/view?id=0,539,0,1600.0,1776.7003431354387,6.4180919998761965,4174.214104999919,1.0,7.772155225660586,0.0,1600,2600,3000,3200,3800,3900,4100,4100,4200,4200,4200
GET,/fake-redis/view?id=1,537,0,410.0,398.43076548789253,3.2759110004008107,849.2938889999095,1.0,7.743316059702662,0.0,410,520,580,620,670,770,800,820,850,850,850
GET,/fake-redis/view?id=10,516,0,510.0,468.16835712402013,9.507550999842351,874.7576499999923,2.0,7.440504817144457,0.0,510,630,660,670,780,810,840,860,870,870,870
GET,/fake-redis/view?id=11,514,0,520.0,464.40605273541803,7.552359999863256,872.6260220000768,2.0,7.411665651186532,0.0,520,630,650,660,760,810,830,850,870,870,870
GET,/fake-redis/view?id=12,506,0,540.0,478.30347081026093,7.465536999916367,881.0499010000967,2.0,7.296308987354836,0.0,550,630,650,670,780,810,850,860,880,880,880
GET,/fake-redis/view?id=13,505,0,550.0,484.1085467346508,9.244477999800438,871.9206480000139,2.0,7.281889404375874,0.0,550,630,660,670,780,820,830,850,870,870,870
GET,/fake-redis/view?id=14,501,0,580.0,486.2685316027932,8.364074999917648,864.9910799999816,2.0,7.224211072460025,0.0,580,630,660,670,770,800,830,860,860,860,860
GET,/fake-redis/view?id=15,499,0,580.0,489.87434226853924,11.47400399986509,871.9106619996637,2.0,7.195371906502101,0.0,580,630,650,670,780,810,840,860,870,870,870
GET,/fake-redis/view?id=16,497,0,580.0,494.6670985332035,8.357587000318745,876.2209759997859,2.0,7.166532740544176,0.0,580,630,660,680,780,830,840,860,880,880,880
GET,/fake-redis/view?id=17,495,0,590.0,497.845843414153,11.381091999737691,881.1535079998976,2.0,7.137693574586252,0.0,590,630,660,680,790,830,840,860,880,880,880
GET,/fake-redis/view?id=18,490,0,590.0,505.7876030551072,10.302275999947597,871.1553209996055,2.0,7.065595659691442,0.0,590,640,660,680,800,820,830,860,870,870,870
GET,/fake-redis/view?id=19,486,0,590.0,505.80309102468055,14.037035999990621,876.7904950000229,2.0,7.007917327775593,0.0,590,640,660,670,790,820,840,860,880,880,880
GET,/fake-redis/view?id=2,533,0,440.0,408.3035288330194,3.89159499991365,867.0419430000038,1.0,7.685637727786813,0.0,440,540,600,630,680,770,790,800,870,870,870
