Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fake-redis/view?id=0,45,0,4,5.179070911061798,2.9303080000318005,15.96818300004088,1.0,3.0298740494966845,0.0,4,5,5,5,7,13,16,16,16,16,16
GET,/fake-redis/view?id=1,45,0,3,2.840401133420932,1.9279719999758527,6.05225099980089,1.0,3.0298740494966845,0.0,3,3,3,3,4,5,6,6,6,6,6
GET,/fake-redis/view?id=10,45,0,2,2.7024953777981864,1.6071519999059092,7.721077000041987,2.0,3.0298740494966845,0.0,2,3,3,4,4,5,8,8,8,8,8
GET,/fake-redis/view?id=11,45,0,2,2.684877488910489,1.6262229996755195,5.955440999969142,2.0,3.0298740494966845,0.0,2,3,3,4,4,5,6,6,6,6,6
GET,/fake-redis/view?id=12,45,0,2,2.6459230888374603,1.779808000264893,5.830806999711058,2.0,3.0298740494966845,0.0,2,2,3,3,4,6,6,6,6,6,6
GET,/fake-redis/view?id=13,45,0,2,2.5815917555721373,1.7926539999280067,5.905143000290991,2.0,3.0298740494966845,0.0,2,3,3,3,4,5,6,6,6,6,6
GET,/fake-redis/view?id=14,45,0,2,2.5797012888789244,1.7119650001404807,5.69996500007619,2.0,3.0298740494966845,0.0,2,3,3,3,4,4,6,6,6,6,6
GET,/fake-redis/view?id=15,45,0,2,2.589268088902625,1.8039730002783472,5.76648500009469,2.0,3.0298740494966845,0.0,2,2,3,3,5,5,6,6,6,6,6
GET,/fake-redis/view?id=16,45,0,2,2.522208711060456,1.7137119998551498,5.879897000340861,2.0,3.0298740494966845,0.0,2,2,3,3,3,5,6,6,6,6,6
GET,/fake-redis/view?id=17,45,0,2,2.458958133320266,1.7568899997968401,5.291967000175646,2.0,3.0298740494966845,0.0,2,2,3,3,3,4,5,5,5,5,5
GET,/fake-redis/view?id=18,45,0,2,2.523035133334714,1.7576720001670765,5.9434279996821715,2.0,3.0298740494966845,0.0,2,2,3,3,4,4,6,6,6,6,6
GET,/fake-redis/view?id=19,45,0,2,2.467818422206215,1.6171990000657388,6.0232900000301015,2.0,3.0298740494966845,0.0,2,2,3,3,4,4,6,6,6,6,6
GET,/fake-redis/view?id=2,45,0,3,2.767036177798824,1.7149909999716328,6.374276999849826,1.0,3.0298740494966845,0.0,3,3,3,3,4,5,6,6,6,6,6
GET,/fake-redis/view?id=20,45,0,2,2.5070015110537094,1.8028649997177126,5.7270769998467586,2.0,3.0298740494966845,0.0,2,2,3,3,4,5,6,6,6,6,6
GET,/fake-redis/view?id=21,45,0,2,2.5463243333635748,1.740714999868942,5.950643000232958,2.0,3.0298740494966845,0.0,2,2,3,3,4,5,6,6,6,6,6
GET,/fake-redis/view?id=22,45,0,2,2.5613819777592854,1.709309000034409,6.565437000062957,2.0,3.0298740494966845,0.0,2,2,3,3,4,6,7,7,7,7,7
