Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fake-sqlite/add?id=0,134,0,60,296.1061727089634,6.374641000547854,5252.215359999354,1.0,8.96876243795881,0.0,60,100,170,270,740,1400,3900,5000,5300,5300,5300
GET,/fake-sqlite/add?id=1,131,0,9,194.07690759541717,4.189785000562551,3258.291683000607,1.0,8.767969249049285,0.0,9,39,110,190,570,960,2200,3000,3300,3300,3300
GET,/fake-sqlite/add?id=10,93,0,24,136.4203751719845,3.917598999578331,1237.0403659997464,2.0,6.224588856195294,0.0,24,84,180,200,470,640,860,1200,1200,1200,1200
GET,/fake-sqlite/add?id=11,89,0,13,136.30691079775676,4.1690339994602255,1745.0538940001934,2.0,5.956864604315927,0.0,13,38,59,130,330,1200,1500,1700,1700,1700,1700
GET,/fake-sqlite/add?id=12,84,0,14,295.5728697619244,3.656109999610635,5050.545646000501,2.0,5.622209289466717,0.0,15,84,240,430,830,1300,2700,5100,5100,5100,5100
GET,/fake-sqlite/add?id=13,82,0,18,182.92271669510805,4.250886000590981,5251.990062999539,2.0,5.488347163527034,0.0,19,59,110,200,370,630,1100,5300,5300,5300,5300
GET,/fake-sqlite/add?id=14,79,0,14,254.8055970253446,4.087940999852435,5016.853078999702,2.0,5.287553974617508,0.0,14,39,97,170,640,1400,4100,5000,5000,5000,5000
GET,/fake-sqlite/add?id=15,74,0,12,264.4254920675873,4.089222000402515,3605.6478740001694,2.0,4.952898659768299,0.0,13,38,110,240,640,2200,3400,3600,3600,3600,3600
GET,/fake-sqlite/add?id=16,72,0,13,258.8428251250182,4.481521999878169,4943.743464999898,2.0,4.819036533828615,0.0,14,23,110,190,540,1900,3500,4900,4900,4900,4900
GET,/fake-sqlite/add?id=17,68,0,24,325.64364133828775,4.1216810004698345,2841.4253190003365,2.0,4.551312281949247,0.0,24,59,210,360,1400,1900,2600,2800,2800,2800,2800
