Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/fake-sqlite/add?id=0,42,0,11,51.36783850000592,4.68540500060044,944.4531770004687,1.0,2.8163057251523975,0.0,12,20,39,62,95,130,940,940,940,940,940
GET,/fake-sqlite/add?id=1,42,0,8,45.74913126180036,4.287908000151219,734.4008889995166,1.0,2.8163057251523975,0.0,9,10,15,24,60,280,730,730,730,730,730
GET,/fake-sqlite/add?id=10,41,0,9,61.9472026586353,4.471420999834663,835.7591550002326,2.0,2.749250826934483,0.0,9,22,39,39,110,440,840,840,840,840,840
GET,/fake-sqlite/add?id=11,41,0,8,35.64704890245261,4.940423999869381,634.6424249995835,2.0,2.749250826934483,0.0,8,10,14,23,39,140,630,630,630,630,630
GET,/fake-sqlite/add?id=12,41,0,6,50.2937866583413,4.402620999826468,569.1411839998182,2.0,2.749250826934483,0.0,6,8,9,23,170,200,570,570,570,570,570
GET,/fake-sqlite/add?id=13,40,0,8,41.05777427500925,4.171422999206698,834.393326999816,2.0,2.682195928716569,0.0,8,9,24,38,62,190,830,830,830,830,830
GET,/fake-sqlite/add?id=14,40,0,8,19.35615809995852,4.327231999923242,184.07016299988754,2.0,2.682195928716569,0.0,8,9,9,14,58,120,180,180,180,180,180
GET,/fake-sqlite/add?id=15,40,0,8,14.307323000025463,4.003769000519242,109.29560700060392,2.0,2.682195928716569,0.0,8,9,9,14,39,59,110,110,110,110,110
GET,/fake-sqlite/add?id=16,40,0,7,17.037770150000142,5.0041220001730835,335.4436820000046,2.0,2.682195928716569,0.0,7,8,9,9,14,58,340,340,340,340,340
GET,/fake-sqlite/add?id=17,39,0,7,8.140131051405683,4.709343999820703,39.98373800004629,2.0,2.6151410304986547,0.0,7,8,9,9,10,13,40,40,40,40,40
GET,/fake-sqlite/add?id=18,39,0,8,8.37076653843747,4.491560000133177,36.26028899998346,2.0,2.6151410304986547,0.0,8,8,9,9,10,15,36,36,36,36,36
GET,/fake-sqlite/add?id=19,39,0,7,21.020685487154623,4.219966999698954,334.11724399957166,2.0,2.6151410304986547,0.0,7,9,10,11,38,85,330,330,330,330,330
GET,/fake-sqlite/add?id=2,42,0,8,19.599222642855672,4.333097999733582,183.96849799955817,1.0,2.8163057251523975,0.0,8,10,14,23,38,83,180,180,180,180,180
GET,/fake-sqlite/add?id=20,39,0,7,13.01014607701617,5.206943000302999,92.65142300046136,2.0,2.6151410304986547,0.0,7,8,9,9,24,84,93,93,93,93,93
