Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/files/view/100KB?id=0,187,0,15,25.11164544920512,4.789812000126403,126.85522099991431,15.0,12.96623059493409,0.0,15,24,28,34,68,97,110,120,130,130,130
GET,/files/view/100KB?id=1,186,0,8,17.09412816666206,4.132807000132743,108.16765699973985,15.0,12.89689246341038,0.0,8,17,22,26,37,58,80,100,110,110,110
GET,/files/view/100KB?id=2,186,0,8,17.600075822600203,4.28608099991834,104.97039100027905,15.0,12.89689246341038,0.0,8,17,24,27,44,61,84,100,100,100,100
GET,/files/view/100KB?id=3,186,0,8,16.546410876332228,3.807223999956477,92.23111300025266,15.0,12.89689246341038,0.0,9,16,23,26,40,53,77,89,92,92,92
GET,/files/view/100KB?id=4,186,0,12,18.788546881719462,3.971145999912551,113.1800809998822,15.0,12.89689246341038,0.0,12,19,23,26,42,59,95,100,110,110,110
GET,/files/view/100KB?id=5,186,0,12,17.753932612892044,3.90599000002112,93.20267499970214,15.0,12.89689246341038,0.0,13,17,23,26,42,56,72,88,93,93,93
GET,/files/view/100KB?id=6,186,0,9,16.97782975267767,4.113467000024684,103.66750599996521,15.0,12.89689246341038,0.0,9,17,21,24,36,54,86,98,100,100,100
GET,/files/view/100KB?id=7,186,0,12,17.47952804302141,3.935817000183306,117.93149599998287,15.0,12.89689246341038,0.0,12,17,22,25,35,58,70,120,120,120,120
GET,/files/view/100KB?id=8,186,0,13,20.036227451619098,4.218111000227509,112.78056100036338,15.0,12.89689246341038,0.0,14,20,25,28,44,58,100,110,110,110,110
GET,/files/view/100KB?id=9,186,0,11,19.015396010748493,4.178979999778676,108.21545599992533,15.0,12.89689246341038,0.0,11,19,23,27,43,57,99,110,110,110,110
,Aggregated,1861,0,11,18.643849416442837,3.807223999956477,126.85522099991431,15.0,129.0382627656275,0.0,11,19,23,27,42,60,90,100,120,130,130
