Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/files/view/10000000KB?id=0,47,0,8,10.516531510647644,5.410402000052272,70.77243899993846,20.0,3.320646778278947,0.0,8,8,9,9,12,28,71,71,71,71,71
GET,/files/view/10000000KB?id=1,47,0,5,5.929770425522524,3.9825359999667853,17.220668999925692,20.0,3.320646778278947,0.0,5,5,5,5,11,12,17,17,17,17,17
GET,/files/view/10000000KB?id=2,47,0,5,5.7208810850421825,3.8955250001890818,14.933649999875342,20.0,3.320646778278947,0.0,5,6,6,6,9,11,15,15,15,15,15
GET,/files/view/10000000KB?id=3,47,0,5,5.428908914914342,3.503345999888552,13.72519899996405,20.0,3.320646778278947,0.0,5,5,6,6,9,9,14,14,14,14,14
GET,/files/view/10000000KB?id=4,47,0,5,8.72038119147893,3.377896000074543,55.500421000033384,20.0,3.320646778278947,0.0,5,7,9,11,19,21,56,56,56,56,56
GET,/files/view/10000000KB?id=5,47,0,6,7.4315770638678895,3.2209410001087235,24.338325999906374,20.0,3.320646778278947,0.0,6,7,8,8,16,17,24,24,24,24,24
GET,/files/view/10000000KB?id=6,47,0,6,10.473465234022019,3.1042320001688495,94.3570490003367,20.0,3.320646778278947,0.0,6,10,11,12,21,26,94,94,94,94,94
GET,/files/view/10000000KB?id=7,47,0,7,7.753100234028952,3.1270509998648777,16.47133999995276,20.0,3.320646778278947,0.0,7,9,10,12,15,16,16,16,16,16,16
GET,/files/view/10000000KB?id=8,47,0,6,10.436808382971147,3.600531999836676,93.65787499973521,20.0,3.320646778278947,0.0,6,10,11,12,18,19,94,94,94,94,94
GET,/files/view/10000000KB?id=9,47,0,6,8.006990638265012,3.0814619999546267,24.089747999823885,20.0,3.320646778278947,0.0,6,8,10,11,18,18,24,24,24,24,24
,Aggregated,470,0,6,8.041841468076065,3.0814619999546267,94.3570490003367,20.0,33.20646778278947,0.0,6,7,9,10,15,18,25,54,94,94,94
