Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/files/view/1000000KB?id=0,47,0,8,10.288793361714271,5.282787000396638,47.01846500029205,19.0,3.329234615092642,0.0,8,8,9,11,15,34,47,47,47,47,47
GET,/files/view/1000000KB?id=1,47,0,5,8.206819936150806,4.002927000328782,37.65730699979031,19.0,3.329234615092642,0.0,5,6,8,9,18,22,38,38,38,38,38
GET,/files/view/1000000KB?id=2,47,0,5,7.364700234042988,3.7337839999054268,33.57608499982234,19.0,3.329234615092642,0.0,5,6,7,8,14,25,34,34,34,34,34
GET,/files/view/1000000KB?id=3,47,0,5,8.231737765914232,3.7603630003104627,44.98875199988106,19.0,3.329234615092642,0.0,5,7,9,10,20,21,45,45,45,45,45
GET,/files/view/1000000KB?id=4,47,0,5,9.90889825528784,3.9508999998361105,57.728878000034456,19.0,3.329234615092642,0.0,5,9,10,11,25,28,58,58,58,58,58
GET,/files/view/1000000KB?id=5,47,0,6,8.205429148966552,3.727753000021039,43.17045200014036,19.0,3.329234615092642,0.0,6,7,8,10,18,21,43,43,43,43,43
GET,/files/view/1000000KB?id=6,47,0,6,8.65776408511707,3.9754330000505433,31.366755999897578,19.0,3.329234615092642,0.0,6,8,10,13,19,22,31,31,31,31,31
GET,/files/view/1000000KB?id=7,47,0,8,9.179118510619059,3.746675000002142,23.66846099994291,19.0,3.329234615092642,0.0,8,10,12,12,17,19,24,24,24,24,24
GET,/files/view/1000000KB?id=8,47,0,6,8.138578276536483,3.635819999999512,29.21892199992726,19.0,3.329234615092642,0.0,6,9,10,12,15,19,29,29,29,29,29
GET,/files/view/1000000KB?id=9,47,0,7,7.9924315532093235,3.7683400000787515,23.237978999986808,19.0,3.329234615092642,0.0,7,9,10,11,15,17,23,23,23,23,23
,Aggregated,470,0,6,8.617427112755863,3.635819999999512,57.728878000034456,19.0,33.29234615092642,0.0,6,8,10,11,17,22,33,40,58,58,58
