Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?id=0,41,0,5,9.811901609748197,2.5852859998849453,48.24081299989302,18.0,2.8599529239774055,0.0,5,7,10,17,22,26,48,48,48,48,48
GET,/?id=1,41,0,3,5.776878243911441,1.6360080001049937,29.326330999992933,18.0,2.8599529239774055,0.0,3,4,6,7,13,22,29,29,29,29,29
GET,/?id=10,41,0,3,5.092874707332424,1.3381020000906574,25.349741000127324,18.0,2.8599529239774055,0.0,3,4,4,9,12,18,25,25,25,25,25
GET,/?id=11,41,0,3,5.0404088780918,1.397803000145359,27.74588500005848,18.0,2.8599529239774055,0.0,3,4,5,6,13,16,28,28,28,28,28
GET,/?id=12,41,0,3,5.4486656097585024,1.3438409998798306,30.46417200016549,18.0,2.8599529239774055,0.0,3,5,5,8,11,22,30,30,30,30,30
GET,/?id=13,41,0,3,5.4933695121900845,1.3024729998960538,34.690746000023864,18.0,2.8599529239774055,0.0,3,4,5,6,13,21,35,35,35,35,35
GET,/?id=14,41,0,3,4.688982731727819,1.440917000081754,16.452597000125024,18.0,2.8599529239774055,0.0,3,4,5,8,11,14,16,16,16,16,16
GET,/?id=15,41,0,3,5.078956512201463,1.398515999881056,29.200994000120772,18.0,2.8599529239774055,0.0,3,4,5,7,13,15,29,29,29,29,29
GET,/?id=16,41,0,2,4.425189975591355,1.4374119998592505,22.046257000056357,18.0,2.8599529239774055,0.0,2,4,5,7,8,14,22,22,22,22,22
GET,/?id=17,41,0,2,4.395403951232256,1.2990560001071572,27.071706000015183,18.0,2.8599529239774055,0.0,2,3,5,6,10,12,27,27,27,27,27
GET,/?id=18,41,0,3,4.0011822926738585,1.293952999958492,12.531482999975196,18.0,2.8599529239774055,0.0,3,4,5,6,9,10,13,13,13,13,13
GET,/?id=19,41,0,3,4.395993292674331,1.1367299998710223,14.781830999936574,18.0,2.8599529239774055,0.0,3,4,5,7,11,13,15,15,15,15,15
GET,/?id=2,41,0,3,6.047847073193957,1.6161169999122649,31.14821799999845,18.0,2.8599529239774055,0.0,3,4,8,9,16,20,31,31,31,31,31
GET,/?id=20,41,0,3,5.013794780502505,1.1657570000807027,31.711598000129015,18.0,2.8599529239774055,0.0,3,4,5,7,10,20,32,32,32,32,32
GET,/?id=21,41,0,3,5.009693560967252,1.1414879998028482,22.567661000039152,18.0,2.8599529239774055,0.0,3,4,5,9,13,15,23,23,23,23,23
GET,/?id=22,41,0,3,11.523541975609588,1.262309000139794,287.48184299979584,18.0,2.8599529239774055,0.0,3,4,6,7,11,21,290,290,290,290,290
GET,/?id=23,41,0,3,4.361184682920793,1.4372050000019954,18.78632399984781,18.0,2.8599529239774055,0.0,3,4,6,7,9,12,19,19,19,19,19
GET,/?id=24,41,0,2,4.564015878059298,1.240628999994442,26.32168500008447,18.0,2.8599529239774055,0.0,2,3,4,6,10,12,26,26,26,26,26
GET,/?id=25,41,0,3,6.014585219512499,1.266980999844236,40.95744200003537,18.0,2.8599529239774055,0.0,3,5,6,6,11,24,41,41,41,41,41
GET,/?id=26,41,0,2,4.49848792681689,1.23811299999943,25.432346999878064,18.0,2.8599529239774055,0.0,2,3,4,4,10,18,25,25,25,25,25
GET,/?id=27,41,0,2,4.879435365820627,1.2602350000179285,35.59806099997331,18.0,2.8599529239774055,0.0,2,3,4,5,8,19,36,36,36,36,36
GET,/?id=28,41,0,2,4.225529804881905,1.3009659999170253,23.90061899995999,18.0,2.8599529239774055,0.0,2,3,4,6,10,16,24,24,24,24,24
GET,/?id=29,41,0,3,5.204901000020183,1.1652050000066083,30.199508000123387,18.0,2.8599529239774055,0.0,3,4,6,7,9,24,30,30,30,30,30
GET,/?id=3,41,0,3,5.216665634135297,1.464769999984128,25.37231799988149,18.0,2.8599529239774055,0.0,3,4,5,6,12,17,25,25,25,25,25
GET,/?id=30,41,0,2,4.465141731721016,1.1824329999399197,21.578760000011243,18.0,2.8599529239774055,0.0,2,3,4,5,10,18,22,22,22,22,22
GET,/?id=31,41,0,3,5.376720951212186,1.2419390000104613,35.58160299985502,18.0,2.8599529239774055,0.0,3,4,5,6,15,18,36,36,36,36,36
GET,/?id=32,41,0,3,4.890278024410092,1.1596179999742162,37.1063940001477,18.0,2.8599529239774055,0.0,3,3,5,7,9,17,37,37,37,37,37
GET,/?id=33,41,0,3,8.572011902448894,1.1296739999124839,146.24653600003512,18.0,2.8599529239774055,0.0,3,4,6,8,10,24,150,150,150,150,150
GET,/?id=34,41,0,3,4.840160195133249,1.2241230001563963,21.343284999829848,18.0,2.8599529239774055,0.0,3,4,5,8,12,16,21,21,21,21,21
GET,/?id=35,41,0,2,4.192385902448089,1.3773739999578538,21.613544000047114,18.0,2.8599529239774055,0.0,2,3,4,5,9,10,22,22,22,22,22
GET,/?id=36,41,0,3,4.905282512210051,1.4057109999612294,29.740266000089832,18.0,2.8599529239774055,0.0,3,3,4,5,9,21,30,30,30,30,30
GET,/?id=37,41,0,3,4.787466634125827,1.2562049998905422,21.53403400006937,18.0,2.8599529239774055,0.0,3,4,5,6,15,16,22,22,22,22,22
GET,/?id=38,41,0,3,4.67833219510417,1.2334089999512798,28.011696000021402,18.0,2.8599529239774055,0.0,3,3,4,5,9,17,28,28,28,28,28
GET,/?id=39,41,0,3,11.86666485366958,1.2763600000198494,285.8322590000171,18.0,2.8599529239774055,0.0,3,3,4,5,22,25,290,290,290,290,290
GET,/?id=4,41,0,3,5.724963926828734,1.4066829999137553,32.55712800000765,18.0,2.8599529239774055,0.0,3,4,5,10,13,22,33,33,33,33,33
GET,/?id=40,41,0,2,5.565163268284977,1.2786039999355125,29.893938999975944,18.0,2.8599529239774055,0.0,2,3,5,7,14,25,30,30,30,30,30
GET,/?id=41,41,0,2,4.605546804879584,1.1471090001577977,30.01996800003326,18.0,2.8599529239774055,0.0,2,4,5,5,8,17,30,30,30,30,30
GET,/?id=42,41,0,2,4.548724682929721,1.2792679999620304,21.721758000012414,18.0,2.8599529239774055,0.0,2,4,4,6,13,16,22,22,22,22,22
GET,/?id=43,41,0,2,5.353788024388828,1.2607200001184538,24.51734999999644,18.0,2.8599529239774055,0.0,2,3,6,10,12,21,25,25,25,25,25
GET,/?id=44,41,0,2,4.55165724390942,1.3012800000069547,27.073876000031305,18.0,2.8599529239774055,0.0,2,3,4,7,9,12,27,27,27,27,27
GET,/?id=45,41,0,2,4.5424211707485505,1.3282879999678698,29.382790999989084,18.0,2.8599529239774055,0.0,2,3,4,5,8,16,29,29,29,29,29
GET,/?id=46,41,0,3,17.36972987807748,1.2610240000867634,507.41551400005847,18.0,2.8599529239774055,0.0,3,5,7,7,13,24,510,510,510,510,510
GET,/?id=47,41,0,2,6.190110609733848,1.296795999905953,62.51134000012826,18.0,2.8599529239774055,0.0,2,3,5,7,13,21,63,63,63,63,63
GET,/?id=48,41,0,2,5.107446878044844,1.3314979998995113,38.08103299979848,18.0,2.8599529239774055,0.0,2,3,4,7,10,22,38,38,38,38,38
GET,/?id=49,41,0,2,4.8517237560911495,1.2691439999343856,31.682909999972253,18.0,2.8599529239774055,0.0,2,3,4,7,9,14,32,32,32,32,32
GET,/?id=5,41,0,3,5.5495072439077,1.3550050000503688,40.169529999957376,18.0,2.8599529239774055,0.0,3,4,5,9,12,17,40,40,40,40,40
GET,/?id=50,41,0,2,5.072965756093387,1.3247990000309073,31.78785299996889,18.0,2.8599529239774055,0.0,2,3,5,7,10,19,32,32,32,32,32
GET,/?id=51,41,0,3,4.771955292675912,1.263695999796255,23.643210000045656,18.0,2.8599529239774055,0.0,3,4,5,6,11,19,24,24,24,24,24
GET,/?id=52,41,0,2,4.146796365869416,1.2776569999459753,19.918473999950947,18.0,2.8599529239774055,0.0,2,3,4,6,9,14,20,20,20,20,20
GET,/?id=53,41,0,2,3.9119552195255136,1.3122020000082557,17.4580689999857,18.0,2.8599529239774055,0.0,2,3,4,5,8,13,17,17,17,17,17
GET,/?id=54,41,0,2,4.71161121951321,1.1933089999729418,21.689281000135452,18.0,2.8599529239774055,0.0,2,3,6,7,12,15,22,22,22,22,22
GET,/?id=55,41,0,2,4.537260487817237,1.2758130001202517,21.30180999984077,18.0,2.8599529239774055,0.0,2,3,4,6,12,13,21,21,21,21,21
GET,/?id=56,41,0,2,4.118544975604093,1.167592000001605,19.931394999957774,18.0,2.8599529239774055,0.0,2,3,5,8,9,11,20,20,20,20,20
GET,/?id=57,41,0,3,5.283716975632493,1.2027590000798227,37.9889490000096,18.0,2.8599529239774055,0.0,3,3,6,7,9,19,38,38,38,38,38
GET,/?id=58,41,0,2,4.76079404875125,1.246699999910561,27.769089999992502,18.0,2.8599529239774055,0.0,2,3,5,8,10,15,28,28,28,28,28
GET,/?id=59,41,0,3,4.506422658512126,1.190361999988454,23.31626599993797,18.0,2.8599529239774055,0.0,3,4,4,6,10,13,23,23,23,23,23
GET,/?id=6,41,0,3,16.662372926830578,1.4218540000001667,512.7152689999548,18.0,2.8599529239774055,0.0,3,4,4,7,10,11,510,510,510,510,510
GET,/?id=60,41,0,3,3.9755317317064134,1.1801939999713795,14.943829000003461,18.0,2.8599529239774055,0.0,3,3,4,5,9,12,15,15,15,15,15
GET,/?id=61,41,0,3,4.091982536592917,1.1801030000242463,28.739793999875474,18.0,2.8599529239774055,0.0,3,3,4,6,7,11,29,29,29,29,29
GET,/?id=62,41,0,2,3.9572647561149874,1.1844610000935063,33.92452299999604,18.0,2.8599529239774055,0.0,2,3,3,4,8,9,34,34,34,34,34
GET,/?id=63,41,0,2,4.245058414620339,1.200208999989627,25.689847999956328,18.0,2.8599529239774055,0.0,2,3,4,5,7,15,26,26,26,26,26
GET,/?id=64,41,0,2,4.031878292685511,1.1897019999196345,23.77451199981806,18.0,2.8599529239774055,0.0,2,3,4,5,9,11,24,24,24,24,24
GET,/?id=65,41,0,2,3.9920831463582656,1.207845999942947,22.255133000044225,18.0,2.8599529239774055,0.0,2,3,4,5,8,12,22,22,22,22,22
GET,/?id=66,41,0,2,3.932479878053195,1.1765389999709441,20.20890500011774,18.0,2.8599529239774055,0.0,2,3,4,4,9,11,20,20,20,20,20
GET,/?id=67,41,0,3,4.7799867073347455,1.1908030000995495,39.101386999846,18.0,2.8599529239774055,0.0,3,3,3,5,11,14,39,39,39,39,39
GET,/?id=68,41,0,2,3.698662926814084,1.2218929998653039,15.87648800000352,18.0,2.8599529239774055,0.0,2,3,3,6,8,10,16,16,16,16,16
GET,/?id=69,41,0,2,4.399937439030709,1.1913760001789342,19.75473100014824,18.0,2.8599529239774055,0.0,2,4,6,6,10,14,20,20,20,20,20
GET,/?id=7,41,0,3,6.185510341471699,1.2982850000753388,72.12835499990433,18.0,2.8599529239774055,0.0,3,4,5,7,10,16,72,72,72,72,72
