Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?id=0,5,0,4,8.255469199957588,3.043943999955445,26.947242000005645,18.0,0.1021341723773932,0.0,4,4,4,27,27,27,27,27,27,27,27
GET,/?id=1,5,0,2,2.3977576000561385,1.9817980000880198,2.946773000076064,18.0,0.1021341723773932,0.0,2,3,3,3,3,3,3,3,3,3,3
GET,/?id=10,5,0,2,1.9732116000341193,1.2922999999318563,2.3760250001032546,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/?id=11,5,0,2,1.916389200005142,1.4033460001883213,2.2061610000037035,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/?id=12,5,0,2,2.0231772000443016,1.5633450000223093,2.458377000039036,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/?id=13,5,0,2,1.9516510000357812,1.5410460000566673,2.4715929998819774,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/?id=14,5,0,2,1.9688480000240816,1.499414999898363,2.4284300000090298,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/?id=15,5,0,2,2.0266404000722105,1.778572000148415,2.493397000080222,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/?id=16,5,0,2,2.6111978000244562,1.8424830000185466,4.427320000104373,18.0,0.1021341723773932,0.0,2,2,2,4,4,4,4,4,4,4,4
GET,/?id=17,5,0,2,2.06776460004221,1.5576010000586393,2.561212000045998,18.0,0.1021341723773932,0.0,2,2,2,3,3,3,3,3,3,3,3
GET,/?id=18,5,0,2,2.205396199997267,1.5621509999164118,2.891948000069533,18.0,0.1021341723773932,0.0,2,3,3,3,3,3,3,3,3,3,3
GET,/?id=19,5,0,2,1.8869089999952848,1.5489859999888722,2.440015999809475,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/?id=2,5,0,2,2.2586695999507356,1.8979999999828578,2.6049939999666094,18.0,0.1021341723773932,0.0,2,2,2,3,3,3,3,3,3,3,3
GET,/?id=20,5,0,2,1.997428399954515,1.5938139999889245,2.4083599998903082,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/?id=21,5,0,2,2.146654199987097,1.6713439999875845,2.722641999980624,18.0,0.1021341723773932,0.0,2,2,2,3,3,3,3,3,3,3,3
GET,/?id=22,5,0,2,1.8008203999670513,1.4347339999858377,2.349465999941458,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/?id=23,5,0,2,1.8229294000320806,1.4183260000208975,2.2685869998895214,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/?id=24,5,0,2,1.815585799931796,1.4389309999387478,2.131090999910157,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/?id=25,5,0,2,1.828578800041214,1.4728290000221023,2.214118999972925,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/?id=26,5,0,2,1.9276164000075369,1.5128759998788155,2.810259999932896,18.0,0.1021341723773932,0.0,2,2,2,3,3,3,3,3,3,3,3
GET,/?id=27,5,0,2,1.9182422000085353,1.5438279999671067,2.458932000081404,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/?id=28,5,0,2,1.8674807999559562,1.5618909999375319,2.291071999934502,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/?id=29,5,0,2,1.9295509999665228,1.5616059999956633,2.314063999847349,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/?id=3,5,0,2,2.085634399963965,1.8822849999651226,2.426565999940067,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/?id=30,5,0,2,1.9476028000099177,1.4524640000672662,2.6218970001536945,18.0,0.1021341723773932,0.0,2,2,2,3,3,3,3,3,3,3,3
GET,/?id=31,5,0,2,2.8780464000647044,1.4798140000493731,6.588710000187348,18.0,0.1021341723773932,0.0,2,2,2,7,7,7,7,7,7,7,7
GET,/?id=32,5,0,2,1.967884200030312,1.4924110000720248,2.2523120001096686,18.0,0.1021341723773932,0.0,2,2,2,2,2,2,2,2,2,2,2
