Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/files/add/1000KB?id=0,89,0,210.0,768.8915641573041,21.248931000002358,5755.9370540000145,19.0,0.44584834197884743,0.0,210,340,420,700,4200,4300,4500,5800,5800,5800,5800
GET,/files/add/1000KB?id=1,88,0,210.0,865.3761688522759,5.9573350000050596,5469.323086000031,19.0,0.44083881004650083,0.0,240,560,840,1000,4100,4500,5000,5500,5500,5500,5500
GET,/files/add/1000KB?id=10,82,0,220.0,1051.595131646345,4.5308350000254904,4996.837587000016,20.0,0.4107816184524212,0.0,250,470,1200,1500,4100,4300,5000,5000,5000,5000,5000
GET,/files/add/1000KB?id=100,43,0,170.0,725.2093605813959,6.175595000001977,4215.958937000039,21.0,0.21540987309090381,0.0,170,300,480,650,2700,4100,4200,4200,4200,4200,4200
GET,/files/add/1000KB?id=1000,1,0,3.521453000018937,3.521453000018937,3.521453000018937,3.521453000018937,22.0,0.0050095319323466,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/files/add/1000KB?id=1001,1,0,3.685152000002745,3.685152000002745,3.685152000002745,3.685152000002745,22.0,0.0050095319323466,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/files/add/1000KB?id=1002,1,0,3.462154000033024,3.462154000033024,3.462154000033024,3.462154000033024,22.0,0.0050095319323466,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/files/add/1000KB?id=1003,1,0,12.295299000015802,12.295299000015802,12.295299000015802,12.295299000015802,22.0,0.0050095319323466,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/files/add/1000KB?id=1004,1,0,16.972346999978072,16.972346999978072,16.972346999978072,16.972346999978072,22.0,0.0050095319323466,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/files/add/1000KB?id=1005,1,0,12.86045000000513,12.86045000000513,12.86045000000513,12.86045000000513,22.0,0.0050095319323466,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/files/add/1000KB?id=1006,1,0,4.675171000030787,4.675171000030787,4.675171000030787,4.675171000030787,22.0,0.0050095319323466,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/files/add/1000KB?id=1007,1,0,3.0256039999585482,3.0256039999585482,3.0256039999585482,3.0256039999585482,22.0,0.0050095319323466,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/files/add/1000KB?id=1008,1,0,3.440742999998747,3.440742999998747,3.440742999998747,3.440742999998747,22.0,0.0050095319323466,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/files/add/1000KB?id=1009,1,0,4.1615659999934,4.1615659999934,4.1615659999934,4.1615659999934,22.0,0.0050095319323466,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/files/add/1000KB?id=101,43,0,110.0,414.13428406976595,5.2148519999946075,4246.736519000024,21.0,0.21540987309090381,0.0,110,210,300,360,940,1300,4200,4200,4200,4200,4200
GET,/files/add/1000KB?id=1010,1,0,3.703953000012916,3.703953000012916,3.703953000012916,3.703953000012916,22.0,0.0050095319323466,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/files/add/1000KB?id=1011,1,0,3.1296330000145645,3.1296330000145645,3.1296330000145645,3.1296330000145645,22.0,0.0050095319323466,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/files/add/1000KB?id=1012,1,0,3.7314450000280885,3.7314450000280885,3.7314450000280885,3.7314450000280885,22.0,0.0050095319323466,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/files/add/1000KB?id=1013,1,0,2.937011000028633,2.937011000028633,2.937011000028633,2.937011000028633,22.0,0.0050095319323466,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/files/add/1000KB?id=1014,1,0,2.873867000005248,2.873867000005248,2.873867000005248,2.873867000005248,22.0,0.0050095319323466,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/files/add/1000KB?id=1015,1,0,3.107351999972252,3.107351999972252,3.107351999972252,3.107351999972252,22.0,0.0050095319323466,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/files/add/1000KB?id=1016,1,0,3.1779540000229645,3.1779540000229645,3.1779540000229645,3.1779540000229645,22.0,0.0050095319323466,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/files/add/1000KB?id=1017,1,0,2.8818570000339605,2.8818570000339605,2.8818570000339605,2.8818570000339605,22.0,0.0050095319323466,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/files/add/1000KB?id=1018,1,0,4.788968000013938,4.788968000013938,4.788968000013938,4.788968000013938,22.0,0.0050095319323466,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/files/add/1000KB?id=1019,1,0,2.6516419999893515,2.6516419999893515,2.6516419999893515,2.6516419999893515,22.0,0.0050095319323466,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/files/add/1000KB?id=102,43,0,110.0,465.3015093720947,9.094251000021814,4768.9308340000025,21.0,0.21540987309090381,0.0,110,180,220,370,480,4300,4800,4800,4800,4800,4800
