Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/files/view/1000KB?id=0,10,0,29,183.37981519989626,16.365376000067045,1572.3973229996773,16.0,0.04861152793672686,0.0,30,34,34,52,1600,1600,1600,1600,1600,1600,1600
GET,/files/view/1000KB?id=1,10,0,9,9.541046100048334,2.3237710001922096,16.581988999860187,16.0,0.04861152793672686,0.0,10,11,14,14,17,17,17,17,17,17,17
GET,/files/view/1000KB?id=10,10,0,11,13.489800599927548,2.450819999921805,32.13178199985123,17.0,0.04861152793672686,0.0,12,15,16,23,32,32,32,32,32,32,32
GET,/files/view/1000KB?id=100,10,0,15,14.692568700093034,2.31775700012804,34.51857800018843,18.0,0.04861152793672686,0.0,16,21,21,22,35,35,35,35,35,35,35
GET,/files/view/1000KB?id=1000,10,0,15,15.94845089998671,12.68782299985105,20.498049999787327,19.0,0.04861152793672686,0.0,17,17,18,18,20,20,20,20,20,20,20
GET,/files/view/1000KB?id=1001,10,0,14,15.072598100050527,9.966390000045067,20.87115700032882,19.0,0.04861152793672686,0.0,16,18,18,18,21,21,21,21,21,21,21
GET,/files/view/1000KB?id=1002,10,0,15,15.669152700093036,12.35698800019236,22.17012299979615,19.0,0.04861152793672686,0.0,16,16,17,17,22,22,22,22,22,22,22
GET,/files/view/1000KB?id=1003,10,0,12,13.92816519992266,11.657504999675439,19.380280999939714,19.0,0.04861152793672686,0.0,14,15,15,17,19,19,19,19,19,19,19
GET,/files/view/1000KB?id=1004,10,0,15,15.236807599967506,9.442762999697152,20.098678000067594,19.0,0.04861152793672686,0.0,16,16,18,18,20,20,20,20,20,20,20
GET,/files/view/1000KB?id=1005,10,0,13,13.964523600134271,10.879095000291272,19.072817000051145,19.0,0.04861152793672686,0.0,14,15,15,17,19,19,19,19,19,19,19
GET,/files/view/1000KB?id=1006,10,0,15,14.89547790006327,8.885787000053824,21.448290000080306,19.0,0.04861152793672686,0.0,15,15,16,17,21,21,21,21,21,21,21
GET,/files/view/1000KB?id=1007,10,0,13,262.8537127999607,10.859378000077413,2497.9915389999405,19.0,0.04861152793672686,0.0,14,17,18,20,2500,2500,2500,2500,2500,2500,2500
GET,/files/view/1000KB?id=1008,10,0,14,29.456272999868816,11.40288899978259,163.25359999973443,19.0,0.04861152793672686,0.0,15,16,17,19,160,160,160,160,160,160,160
GET,/files/view/1000KB?id=1009,10,0,14,14.083108000022548,9.747042000071815,18.28342499993596,19.0,0.04861152793672686,0.0,15,16,16,16,18,18,18,18,18,18,18
GET,/files/view/1000KB?id=101,10,0,14,22.25349739997,2.4198989999604237,101.79987599985907,18.0,0.04861152793672686,0.0,17,17,19,28,100,100,100,100,100,100,100
