Method,Name,Error,Occurrences
GET,/files/add/10000000KB?id=12,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=12 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfdce59358>: Failed to establish a new connection: [Errno 24] Too many open files',))",82
GET,/files/add/10000000KB?id=77,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=77 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfcc7d3438>: Failed to establish a new connection: [Errno 24] Too many open files',))",1
GET,/files/add/10000000KB?id=39,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=39 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfdc457a90>: Failed to establish a new connection: [Errno 24] Too many open files',))",20
GET,/files/add/10000000KB?id=33,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=33 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfdc4a6278>: Failed to establish a new connection: [Errno 24] Too many open files',))",27
GET,/files/add/10000000KB?id=60,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=60 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfcc685be0>: Failed to establish a new connection: [Errno 24] Too many open files',))",5
GET,/files/add/10000000KB?id=27,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=27 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfdc50b860>: Failed to establish a new connection: [Errno 24] Too many open files',))",38
GET,/files/add/10000000KB?id=50,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=50 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfdc192c88>: Failed to establish a new connection: [Errno 24] Too many open files',))",11
GET,/files/add/10000000KB?id=10,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=10 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfdce59438>: Failed to establish a new connection: [Errno 24] Too many open files',))",91
GET,/files/add/10000000KB?id=43,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=43 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfdc308a58>: Failed to establish a new connection: [Errno 24] Too many open files',))",17
GET,/files/add/10000000KB?id=69,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=69 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfcc2486a0>: Failed to establish a new connection: [Errno 24] Too many open files',))",3
GET,/files/add/10000000KB?id=68,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=68 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfaff927f0>: Failed to establish a new connection: [Errno 24] Too many open files',))",3
GET,/files/add/10000000KB?id=37,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=37 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfdc4202b0>: Failed to establish a new connection: [Errno 24] Too many open files',))",23
GET,/files/add/10000000KB?id=1,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=1 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfdd2a4a20>: Failed to establish a new connection: [Errno 24] Too many open files',))",145
GET,/files/add/10000000KB?id=8,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=8 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfdcec2d68>: Failed to establish a new connection: [Errno 24] Too many open files',))",101
GET,/files/add/10000000KB?id=2,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=2 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfdcf02b70>: Failed to establish a new connection: [Errno 24] Too many open files',))",137
GET,/files/add/10000000KB?id=38,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=38 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfdce591d0>: Failed to establish a new connection: [Errno 24] Too many open files',))",21
GET,/files/add/10000000KB?id=48,"HTTPConnectionPool(host='64.225.26.216', port=3000): Max retries exceeded with url: /files/add/10000000KB?id=48 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcfdc24af60>: Failed to establish a new connection: [Errno 24] Too many open files',))",12
