Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/files/add/1000000KB?id=0,185,184,94,108.92230988107825,1.4298060000328405,372.0930540000609,0.11891891891891893,12.098519833763552,12.033122429256721,94,120,150,180,230,250,290,300,370,370,370
GET,/files/add/1000000KB?id=1,182,181,82,101.86064059340863,1.7233990001841448,366.0049920001711,0.12087912087912088,11.902327620243062,11.836930215736231,83,110,140,190,220,240,280,370,370,370,370
GET,/files/add/1000000KB?id=10,116,115,82,104.1347910431051,1.7272219999995286,288.11649699991904,0.19827586206896552,7.5860989227922815,7.520701518285451,86,120,150,200,230,240,280,280,290,290,290
GET,/files/add/1000000KB?id=11,110,109,86,102.00752765454332,1.6791729999567906,363.93649799993,0.20909090909090908,7.193714495751301,7.128317091244471,90,110,140,180,230,240,280,290,360,360,360
GET,/files/add/1000000KB?id=12,107,106,90,101.47343359812808,1.7128530000718456,291.11317899992173,0.21495327102803738,6.997522282230811,6.9321248777239814,90,110,150,200,230,230,280,280,290,290,290
GET,/files/add/1000000KB?id=13,99,98,81,100.25805063636966,1.1897830001998955,362.9534279998552,0.23232323232323232,6.474343046176171,6.408945641669341,81,110,140,180,230,280,280,360,360,360,360
GET,/files/add/1000000KB?id=14,94,93,82,99.66383773402693,1.1426889998347178,291.1514620000162,0.24468085106382978,6.147356023642021,6.081958619135191,85,110,140,190,220,230,280,290,290,290,290
GET,/files/add/1000000KB?id=15,89,88,89,104.83140039324876,1.1158599997997953,366.7038359999424,0.25842696629213485,5.820369001107871,5.754971596601041,89,120,140,200,220,240,280,370,370,370,370
GET,/files/add/1000000KB?id=16,88,87,80,99.18398339772497,0.9894209999856685,364.06566400000884,0.26136363636363635,5.754971596601041,5.689574192094211,82,110,140,170,230,240,280,360,360,360,360
GET,/files/add/1000000KB?id=17,83,82,85,103.8567983373441,1.2290820000089298,365.45753399991554,0.27710843373493976,5.42798457406689,5.362587169560061,85,120,150,200,230,230,280,370,370,370,370
GET,/files/add/1000000KB?id=18,78,77,82,97.1725698076835,1.0948250001092674,281.2578470000062,0.2948717948717949,5.100997551532741,5.035600147025911,86,110,140,150,220,230,280,280,280,280,280
GET,/files/add/1000000KB?id=19,75,74,83,101.25852105334464,1.124427000149808,365.97547900009886,0.30666666666666664,4.904805338012251,4.839407933505421,83,110,140,200,220,280,280,370,370,370,370
GET,/files/add/1000000KB?id=2,173,172,82,97.93676246820887,0.8634260000235372,365.7124390001627,0.12716763005780346,11.313750979681592,11.248353575174761,82,110,140,150,220,230,280,290,370,370,370
GET,/files/add/1000000KB?id=20,70,69,82,99.8880572857388,1.8650300000899733,366.72609500010367,0.32857142857142857,4.5778183154781,4.5124209109712705,87,110,140,150,230,240,280,370,370,370,370
GET,/files/add/1000000KB?id=21,66,65,89,104.2196788181641,1.1622280001120089,367.0398409999507,0.3484848484848485,4.31622869745078,4.250831292943951,89,120,140,200,230,240,280,370,370,370,370
GET,/files/add/1000000KB?id=22,64,63,84,103.75158471876844,1.2741220000407338,363.85826299988366,0.359375,4.185433888437121,4.12003648393029,90,120,140,200,220,240,280,360,360,360,360
GET,/files/add/1000000KB?id=23,61,60,90,106.29665978688193,1.0115920001680934,365.4558469997937,0.3770491803278688,3.9892416749166304,3.9238442704098007,90,120,140,190,230,230,280,370,370,370,370
GET,/files/add/1000000KB?id=24,58,57,85,99.08274094828059,1.1554120001164847,365.68446899991613,0.39655172413793105,3.7930494613961407,3.7276520568893106,89,110,140,150,220,230,280,370,370,370,370
GET,/files/add/1000000KB?id=25,54,53,89,108.19417314817875,2.9118900001776638,281.5868000000137,0.42592592592592593,3.5314598433688205,3.4660624388619907,91,120,150,210,220,230,280,280,280,280,280
GET,/files/add/1000000KB?id=26,52,51,82,101.14944423076639,1.0622900001635571,362.9180359998827,0.4423076923076923,3.4006650343551605,3.3352676298483304,85,110,150,150,220,280,280,360,360,360,360
GET,/files/add/1000000KB?id=27,49,48,82,97.50642777551232,1.8857239999761077,279.9723379998795,0.46938775510204084,3.2044728208346704,3.1390754163278403,82,110,120,150,220,240,280,280,280,280,280
GET,/files/add/1000000KB?id=28,48,47,83,103.11380108332457,1.124391999837826,363.8299829999596,0.4791666666666667,3.1390754163278403,3.0736780118210105,90,110,150,200,230,230,360,360,360,360,360
GET,/files/add/1000000KB?id=29,46,45,79,98.7218793260947,1.2424979997831542,290.88256999989426,0.5,3.0082806073141803,2.9428832028073506,83,110,140,170,230,240,290,290,290,290,290
GET,/files/add/1000000KB?id=3,163,162,80,99.66767866258347,0.8219029998599581,366.71554500003367,0.13496932515337423,10.659776934613292,10.594379530106462,80,110,140,150,220,230,280,280,370,370,370
GET,/files/add/1000000KB?id=30,43,42,84,101.4078044651511,1.049386999966373,280.0645639999857,0.5348837209302325,2.8120883937936902,2.7466909892868605,84,120,150,170,230,230,280,280,280,280,280
